代码,名字,近期涨跌幅,市盈率,行业,当日涨跌幅2025-03-25 15:35:01
605198,安德利,0.19364069952305246,47.34,食品饮料,-1.05
002246,北化股份,0.15151515151515152,-97.69,化学制品,0.0
603325,博隆技术,0.22394564799384692,26.04,通用设备,1.05
301468,博盈特焊,0.19808306709265175,34.68,专用设备,8.52
000408,藏格矿业,0.1677621283255087,23.19,化肥行业,-0.59
300138,晨光生物,0.1849642004773268,57.06,农牧饲渔,0.83
002487,大金重工,0.17707317073170728,38.37,风电设备,-2.61
605287,德才股份,0.17768924302788833,19.15,装修装饰,0.14
300842,帝科股份,0.16553624417125906,19.73,光伏设备,-1.56
002140,东华科技,0.19672131147540972,17.45,工程建设,-1.74
002210,飞马国际,0.16818181818181802,142.12,环保行业,-1.61
301500,飞南资源,0.17634408602150523,35.27,环保行业,1.13
301446,福事特,0.16602687140115166,35.11,通用设备,-4.49
300034,钢研高纳,0.16555407209612819,42.27,有色金属,4.05
600310,广西能源,0.18352941176470594,11.22,电力行业,5.67
600202,哈空调,0.15271966527196643,1010.78,电源设备,2.8
300320,海达股份,0.1925849639546858,43.22,橡胶制品,2.86
300201,海伦哲,0.153558052434457,33.21,工程机械,-1.79
002498,汉缆股份,0.17543859649122798,17.03,电网设备,-2.49
300446,航天智造,0.17406340057636885,20.81,汽车零部件,1.03
301320,豪江智能,0.19557195571955716,59.42,电子元件,4.35
301105,鸿铭股份,0.2278353964536635,312.85,专用设备,-3.16
000722,湖南发展,0.15138592750533048,58.44,电力行业,4.75
002787,华源控股,0.1680876979293543,38.64,包装材料,0.11
000056,皇庭国际,0.20807453416149066,-12.39,房地产服务,-2.35
002695,煌上煌,0.17907227615965482,57.16,食品饮料,-0.93
300609,汇纳科技,0.1651964715316759,-67.51,互联网服务,2.02
300779,惠城环保,0.2603982858583312,467.18,环保行业,-0.34
300891,惠云钛业,0.19207683073229287,227.14,化学原料,8.64
002609,捷顺科技,0.1829268292682927,107.81,互联网服务,-1.04
000655,金岭矿业,0.15645161290322576,20.53,钢铁行业,1.0
300281,金明精机,0.1528013582342955,141.44,专用设备,6.76
300252,金信诺,0.21871921182266,1102.27,通信设备,3.25
300994,久祺股份,0.18577777777777776,26.92,交运设备,0.79
300516,久之洋,0.21613300492610849,245.77,电子元件,0.57
603477,巨星农牧,0.16570104287369636,28.11,农牧饲渔,3.23
301073,君亭酒店,0.15602145294978054,181.65,旅游酒店,0.21
000796,凯撒旅业,0.1763085399449035,-271.58,旅游酒店,0.23
300841,康华生物,0.1757621377493413,15.05,生物制品,0.48
002773,康弘药业,0.1971757322175732,16.05,化学制药,1.01
300092,科新机电,0.186046511627907,19.03,通用设备,2.38
001258,立新能源,0.15323854660347547,35.33,电力行业,-1.37
002033,丽江股份,0.16102683780630092,20.77,旅游酒店,0.0
002734,利民股份,0.1722222222222223,56.7,农药兽药,5.63
301212,联盛化学,0.21348837209302324,135.85,化学制品,7.1
603062,麦加芯彩,0.17960385438972165,23.04,化学原料,2.13
603506,南都物业,0.24604012671594508,25.45,房地产服务,3.42
300004,南风股份,0.16113744075829378,60.22,专用设备,8.57
300940,南极光,0.18503674014696042,-1757.26,光学光电子,1.72
605123,派克新材,0.22745331744139838,21.75,通用设备,1.73
600215,派斯林,0.1784841075794622,36.66,通用设备,0.76
603659,璞泰来,0.15896820635872816,24.47,电池,3.21
301035,润丰股份,0.16984884645982495,34.12,农药兽药,0.63
002857,三晖电气,0.2,-71.04,电网设备,0.39
002469,三维化学,0.19840213049267647,26.34,化学原料,5.76
001317,三羊马,0.17353951890034353,160.55,物流行业,-3.57
000803,山高环能,0.20281124497991962,-165.33,综合行业,2.63
301517,陕西华达,0.2297639123102868,131.68,电子元件,3.53
301190,善水科技,0.23294406883835275,47.85,化学制品,-0.77
605296,神农集团,0.16868884540117413,24.16,农牧饲渔,2.47
000410,沈阳机床,0.18358208955223873,-93.35,通用设备,1.6
600201,生物股份,0.17647058823529407,37.27,农药兽药,1.65
300423,昇辉科技,0.1549295774647887,178.3,电网设备,0.63
001331,胜通能源,0.18810148731408577,80.97,物流行业,1.12
300813,泰林生物,0.1543778801843318,158.75,医疗器械,1.53
001379,腾达科技,0.1746931067044381,58.72,通用设备,2.67
300960,通业科技,0.15181818181818182,59.83,交运设备,0.37

301216,万凯新材,0.2887259395050413,-57.84,化学制品,5.79
300643,万通智控,0.18274509803921568,29.48,汽车零部件,-2.39
600168,武汉控股,0.15366972477064217,50.95,公用事业,-0.62
002149,西部材料,0.2798264642082429,62.37,小金属,1.35
000610,西安旅游,0.16084484159220136,-27.36,旅游酒店,-0.07
600505,西昌电力,0.1780415430267063,603.14,电力行业,4.47
300722,新余国科,0.19798527702440927,90.0,航天航空,2.44
603416,信捷电气,0.20048750761730663,35.75,专用设备,6.1
301012,扬电科技,0.2211657709797436,53.67,电网设备,-2.57
002686,亿利达,0.16151202749140883,58.5,通用设备,-1.23
002014,永新股份,0.19499999999999992,16.12,包装材料,0.09
002943,宇晶股份,0.23749341758820441,106.85,通用设备,-0.09
600345,长江通信,0.21308576480990274,126.12,通信设备,3.16
000733,振华科技,0.2959651535992665,35.15,电子元件,4.65
603067,振华股份,0.16778934476423774,18.58,化学原料,2.32
300933,中辰股份,0.20491803278688525,58.99,电网设备,4.01
600072,中船科技,0.16557911908645997,-214.33,风电设备,-4.06
600595,中孚实业,0.18131868131868123,17.16,有色金属,-1.65
601611,中国核建,0.15855181023720344,13.97,工程建设,5.33
300435,中泰股份,0.21838111298482293,20.37,燃气,-0.43
002707,众信旅游,0.15487316421895864,51.44,旅游酒店,0.0
603057,紫燕食品,0.17355853232382043,17.91,食品饮料,-0.99
