代码,名字,近期涨跌幅,市盈率,行业,当日涨跌幅2025-07-28 18:29:07
300667,必创科技,0.052253429,-805.27,未知行业,1.07
600617,国新能源,0.069343066,-374.21,未知行业,-0.7
300902,国安达,0.181015453,-372.53,未知行业,1.18
564,供销大集,0.083700441,-363.61,未知行业,0
503,国新健康,0.084302326,-300.13,未知行业,-1.81
300581,晨曦航空,0.1598493,-185.49,未知行业,4.06
300948,冠中生态,0.079555967,-152.3,未知行业,0.61
600037,歌华有线,0.158666667,-150.79,未知行业,-2.3
2272,川润股份,0.109537299,-132.57,未知行业,-0.34
600992,贵绳股份,0.097984712,-128.36,未知行业,-0.52
158,常山北明,0.136700649,-114.4,未知行业,-0.5
300749,顶固集创,0.059171598,-114.03,未知行业,-0.56
300966,共同药业,0.072198276,-110.87,未知行业,1.22
600159,大龙地产,0.080291971,-101.99,未知行业,0.69
1366,播恩集团,0.075409836,-95.86,未知行业,-0.53
2524,光正眼科,0.072234763,-82.22,未知行业,0.21
301189,奥尼电子,0.076893502,-67.42,未知行业,0.9
300736,百邦科技,0.083412322,-61.24,未知行业,0
300103,达刚控股,0.096969697,-59.92,未知行业,-1.43
300497,富祥药业,0.138121547,-55.16,未知行业,1.6
300780,德恩精工,0.063017187,-49.11,未知行业,1.21
600067,冠城新材,0.064189189,-38.27,未知行业,0.65
1201,东瑞股份,0.140605296,-37.57,未知行业,-0.17
600649,城投控股,0.090692124,-37.39,未知行业,-0.66
2184,海得控制,0.081422925,-35.5,未知行业,0.15
300523,辰安科技,0.082086168,-29.15,未知行业,-0.42
2875,安奈儿,0.055662188,-28.42,未知行业,1.06
601515,东峰集团,0.100817439,-24.74,未知行业,1.8
301037,保立佳,0.095679012,-19.01,未知行业,0.85
300614,百川畅银,0.169825625,-18.79,未知行业,0
300358,楚天科技,0.101023018,-18.28,未知行业,-0.23
301313,凡拓数创,0.0835771,-15.25,未知行业,0.08
2133,广宇集团,0.183391003,-10.54,未知行业,2.77
600733,北汽蓝谷,0.099863201,-7.85,未知行业,0.88
600841,动力新科,0.145695364,-5.88,未知行业,0
600408,安泰集团,0.150485437,-4.85,未知行业,-1.29
601588,北辰实业,0.115606936,-4.84,未知行业,0
761,本钢板材,0.120879121,-3.62,未知行业,-1.99
898,鞍钢股份,0.221276596,-3.47,未知行业,-1.77
2128,电投能源,0.119022317,7.31,未知行业,-2.21
300441,鲍斯股份,0.051442911,7.69,未知行业,-0.73
600827,百联股份,0.074479737,7.99,未知行业,0.31
2478,常宝股份,0.077798861,8.89,未知行业,-0.53
600874,创业环保,0.056701031,10.41,未知行业,-0.65
589,贵州轮胎,0.051454139,10.49,未知行业,-0.43
601137,博威合金,0.064920273,12.06,未知行业,-0.43
600420,国药现代,0.068311195,12.15,未知行业,0.72
600690,海尔智家,0.11512605,12.79,未知行业,-0.7
300194,福安药业,0.090909091,13.28,未知行业,1.3
776,广发证券,0.205405405,13.35,未知行业,0.45
2206,海 利 得,0.118546845,13.41,未知行业,0.53
601333,广深铁路,0.076124567,13.58,未知行业,0
603588,高能环境,0.159292035,13.62,未知行业,-1.68
2895,川恒股份,0.112076455,14.17,未知行业,-0.6
603998,方盛制药,0.099497487,14.55,未知行业,-0.28
301015,百洋医药,0.098450775,14.66,未知行业,-0.93
600861,北京人力,0.094791667,14.72,未知行业,-2.85
600894,广日股份,0.057985758,15.15,未知行业,-0.87
603233,大参林,0.050724638,15.23,未知行业,-0.12
603201,常润股份,0.13890762,15.26,未知行业,2.99
2244,滨江集团,0.113006397,15.29,未知行业,-0.19
2545,东方铁塔,0.174712644,15.45,未知行业,0.1
600517,国网英大,0.094302554,15.47,未知行业,-0.73
596,古井贡酒,0.114823815,16.03,未知行业,-0.24
811,冰轮环境,0.193069307,16.13,未知行业,-0.59
600061,国投资本,0.077656676,16.82,未知行业,0.26
2950,奥美医疗,0.067894131,16.96,未知行业,-0.22
601555,东吴证券,0.169109357,17.05,未知行业,-1.06
603551,奥普科技,0.065934066,17.14,未知行业,-0.26
2140,东华科技,0.119125683,17.45,未知行业,-0.78
600361,创新新材,0.076530612,17.88,未知行业,-0.48
603303,得邦照明,0.056808688,17.99,未知行业,1.28
605050,福然德,0.223869533,18.2,未知行业,1.48
600459,贵研铂业,0.113422819,18.35,未知行业,-0.91
300218,安利股份,0.090174966,18.6,未知行业,-0.31
601108,财通证券,0.079530639,19.21,未知行业,0.12
2606,大连电瓷,0.093406593,19.41,未知行业,-0.31
600681,百川能源,0.065714286,19.91,未知行业,-0.27
2282,博深股份,0.06141522,20.05,未知行业,0.64
788,北大医药,0.090766823,20.57,未知行业,1.33
603073,彩蝶实业,0.082541568,20.76,未知行业,0.5
600048,保利发展,0.063909774,20.88,未知行业,1.31
