代码,名字,近期涨跌幅,市盈率,行业,当日涨跌幅2025-05-28 21:23:41
000007,全新好,0.19581464872944687,521.13,房地产服务,-0.39
000029,深深房Ａ,0.18832020997375323,2248.12,房地产开发,-1.06
000421,南京公用,0.17017543859649117,-186.12,燃气,3.03
000553,安道麦A,0.24825174825174826,-5.0,农药兽药,-3.22
000586,汇源通信,0.17549668874172183,-576.64,通信设备,-0.19
000663,永安林业,0.2158671586715867,-37.96,装修建材,3.45
000757,浩物股份,0.16209476309226942,-70.07,汽车服务,-2.6
000766,通化金马,0.1586206896551725,521.45,化学制药,-2.48
000848,承德露露,0.17929562433297777,16.37,食品饮料,-1.0
000890,法尔胜,0.2006369426751592,-28.0,通用设备,0.53
000955,欣龙控股,0.16176470588235298,-133.66,纺织服装,-1.31
000963,华东医药,0.1673842841765341,17.75,化学制药,1.0
001207,联科科技,0.1584778420038535,17.1,橡胶制品,-0.72
001238,浙江正特,0.2236753856472167,84.66,装修建材,0.0
