代码,名字,近期涨跌幅,市盈率,行业,当日涨跌幅2025-03-23 21:39:36
603638,艾迪精密,0.17831074035453606,44.83,工程机械,-0.18
605198,安德利,0.2168557536466774,47.34,食品饮料,0.05
600397,安源煤业,0.298418972332016,-22.63,煤炭行业,5.97
600581,八一钢铁,0.15705128205128197,-2.79,钢铁行业,1.12
002696,百洋股份,0.15503875968992245,-48.07,农牧饲渔,4.01
002246,北化股份,0.1597151576805697,-97.69,化学制品,2.0
301421,波长光电,0.17162944582299416,146.0,光学光电子,1.94
603727,博迈科,0.19248466257668725,33.6,采掘行业,3.25
300971,博亚精工,0.2843691148775896,41.27,通用设备,1.94
300307,慈星股份,0.19354838709677422,19.11,专用设备,4.17
301068,大地海洋,0.2942575603126063,59.93,环保行业,4.13
002487,大金重工,0.1947261663286004,38.37,风电设备,1.73
600558,大西洋,0.18834080717488785,38.51,通用设备,4.95
300842,帝科股份,0.16553624417125906,19.73,光伏设备,1.66
301528,多浦乐,0.16876698789226585,76.04,仪器仪表,2.51
002210,飞马国际,0.16818181818181802,142.12,环保行业,2.39
301446,福事特,0.1631477927063339,35.11,通用设备,2.8
300228,富瑞特装,0.2192737430167598,26.6,专用设备,3.56
002255,海陆重工,0.22203947368421045,18.23,电源设备,4.94
002163,海南发展,0.15855039637599097,-27.27,玻璃玻纤,-1.18
300501,海顺新材,0.22595078299776294,29.46,包装材料,4.25
002653,海思科,0.15971132726702228,76.49,化学制药,-0.84
603759,海天股份,0.1939313984168866,13.12,公用事业,-0.88
600343,航天动力,0.21852970795568982,-68.29,专用设备,-0.34
300446,航天智造,0.17406340057636885,20.81,汽车零部件,-1.47
603011,合锻智能,0.21756225425950187,416.25,专用设备,4.38
002947,恒铭达,0.15261382799325462,24.92,消费电子,0.98
300952,恒辉安防,0.20444763271162122,35.97,纺织服装,1.97
603985,恒润股份,0.2754098360655739,-69.82,风电设备,3.45
301105,鸿铭股份,0.22114419538307123,312.85,专用设备,8.12
000722,湖南发展,0.15138592750533048,58.44,电力行业,4.75
000932,华菱钢铁,0.2162162162162162,15.3,钢铁行业,2.66
301267,华厦眼科,0.16898395721925136,30.88,医疗服务,-0.28
600156,华升股份,0.18736842105263152,-72.91,纺织服装,7.43
300095,华伍股份,0.17008797653958946,94.31,通用设备,5.7
003043,华亚智能,0.15550458715596333,52.5,通用设备,0.72
002787,华源控股,0.17524509803921565,38.64,包装材料,2.9
603181,皇马科技,0.1658943466172383,18.55,塑料制品,2.53
002695,煌上煌,0.19323144104803489,57.16,食品饮料,4.19
300779,惠城环保,0.2603982858583312,467.18,环保行业,2.74
300022,吉峰科技,0.27257240204429295,-107.14,工程机械,8.89
603912,佳力图,0.2338983050847458,338.58,专用设备,1.2
300589,江龙船艇,0.26402070750647116,155.42,船舶制造,3.68
002609,捷顺科技,0.1829268292682927,107.81,互联网服务,3.19
002488,金固股份,0.29529616724738667,319.66,汽车零部件,-0.67
300443,金雷股份,0.16650148662041622,36.52,风电设备,0.56
002515,金字火腿,0.16629711751662973,156.96,食品饮料,-0.96
002662,京威股份,0.15322580645161285,14.88,汽车零部件,-1.64
300994,久祺股份,0.18577777777777776,26.92,交运设备,-1.65
300516,久之洋,0.21613300492610849,245.77,电子元件,7.16
000796,凯撒旅业,0.1662049861495845,-271.58,旅游酒店,3.44
301311,昆船智能,0.1511307225592941,-564.44,通用设备,5.03
600101,明星电力,0.22497187851518557,25.82,电力行业,2.45
605123,派克新材,0.22745331744139838,21.75,通用设备,1.71
600215,派斯林,0.1784841075794622,36.66,通用设备,-1.35
300828,锐新科技,0.16103379721669978,54.49,有色金属,-0.75
002483,润邦股份,0.23575949367088597,18.58,专用设备,7.72
002110,三钢闽光,0.21270718232044186,-5.83,钢铁行业,1.62
300775,三角防务,0.1784287616511318,46.14,航天航空,-1.58
001317,三羊马,0.169225401256106,160.55,物流行业,3.04
301517,陕西华达,0.16884485666104565,131.68,电子元件,2.06
600689,上海三毛,0.21634168987929436,112.11,纺织服装,5.14
600201,生物股份,0.1856474258970358,37.27,农药兽药,0.8
300423,昇辉科技,0.1549295774647887,178.3,电网设备,1.36
001331,胜通能源,0.20071047957371224,80.97,物流行业,-0.22
000959,首钢股份,0.19218241042345288,102.2,钢铁行业,1.13
600039,四川路桥,0.15147265077138863,11.02,工程建设,0.61
300416,苏试试验,0.2614754098360657,37.54,专业服务,-1.88
001379,腾达科技,0.1746931067044381,58.72,通用设备,4.01
002523,天桥起重,0.20512820512820532,229.76,专用设备,4.7
301178,天亿马,0.2077964981830196,-86.33,软件开发,5.4
300265,通光线缆,0.2091346153846154,60.43,电网设备,6.46
300960,通业科技,0.15181818181818182,59.83,交运设备,-0.95
301161,唯万密封,0.20717319490325609,42.99,塑料制品,4.76
300541,先进数通,0.22333077513430546,150.52,互联网服务,4.46
600782,新钢股份,0.23076923076923067,-18.67,钢铁行业,1.1
300157,新锦动力,0.28525641025641013,-17.84,采掘行业,4.7
300850,新强联,0.1811088295687885,-195.71,风电设备,6.76
301120,新特电气,0.21931818181818177,246.61,电网设备,0.75
300722,新余国科,0.19798527702440927,90.0,航天航空,1.88
300123,亚光科技,0.22066549912434322,-63.65,船舶制造,-0.86
002686,亿利达,0.16151202749140883,58.5,通用设备,0.3
002014,永新股份,0.19499999999999992,16.12,包装材料,8.14
600986,浙文互联,0.2397590361445781,67.58,文化传媒,0.59
603067,振华股份,0.24722040549378688,18.58,化学原料,-1.21
600072,中船科技,0.16887417218543038,-214.33,风电设备,4.13
000039,中集集团,0.17444717444717442,19.67,通用设备,4.71
001212,中旗新材,0.2455357142857143,62.89,装修装饰,6.41
603135,中重科技,0.21720430107526875,724.7,专用设备,-1.68
000659,珠海中富,0.16287878787878776,-97.61,包装材料,0.0
002207,准油股份,0.15311909262759918,-77.05,采掘行业,2.01
603057,紫燕食品,0.19761904761904764,17.91,食品饮料,-0.3
