代码,名字,近期涨跌幅,市盈率,行业,当日涨跌幅2025-03-27 19:21:32
605198,安德利,0.16294919454770748,47.34,食品饮料,-0.38
603360,百傲化学,0.19126406353408343,47.21,农药兽药,4.13
002594,比亚迪,0.1599292425472684,34.34,汽车整车,2.79
603325,博隆技术,0.22394564799384692,26.04,通用设备,0.2
000408,藏格矿业,0.1677621283255087,23.19,化肥行业,0.92
300138,晨光生物,0.1849642004773268,57.06,农牧饲渔,1.75
301068,大地海洋,0.2942575603126063,59.93,环保行业,5.05
002487,大金重工,0.17649926864943916,38.37,风电设备,-0.58
301075,多瑞医药,0.1876299376299378,-72.37,化学制药,-1.48
002210,飞马国际,0.16818181818181802,142.12,环保行业,2.44
300034,钢研高纳,0.16555407209612819,42.27,有色金属,-1.52
600259,广晟有色,0.18617913451861795,-31.04,小金属,-0.73
600310,广西能源,0.18352941176470594,11.22,电力行业,1.83
300320,海达股份,0.22966014418125627,43.22,橡胶制品,-0.5
300501,海顺新材,0.18909348441926346,29.46,包装材料,-1.27
002653,海思科,0.16959951456310668,76.49,化学制药,6.79
300199,翰宇药业,0.16360601001669442,-245.52,化学制药,6.09
300446,航天智造,0.17406340057636885,20.81,汽车零部件,5.03
301320,豪江智能,0.20110701107011064,59.42,电子元件,-4.25
002056,横店东磁,0.255813953488372,14.06,光伏设备,-1.83
603800,洪田股份,0.28687615526802224,63.78,专用设备,2.55
301105,鸿铭股份,0.21523178807947033,312.85,专用设备,-0.83
000722,湖南发展,0.15138592750533048,58.44,电力行业,4.75
301093,华兰股份,0.22421524663677128,54.13,医疗器械,1.26
603121,华培动力,0.18514285714285705,68.0,汽车零部件,5.29
003043,华亚智能,0.17796045323261508,52.5,通用设备,5.47
603181,皇马科技,0.20942408376963337,18.55,塑料制品,5.0
002695,煌上煌,0.18662351672060415,57.16,食品饮料,-2.18
300779,惠城环保,0.2748508528695067,467.18,环保行业,-4.43
300891,惠云钛业,0.2004801920768307,227.14,化学原料,1.42
002609,捷顺科技,0.1829268292682927,107.81,互联网服务,0.95
000655,金岭矿业,0.16290322580645158,20.53,钢铁行业,-2.36
300281,金明精机,0.1528013582342955,141.44,专用设备,-3.57
300849,锦盛新材,0.2,2092.94,美容护理,-1.01
001230,劲旅环境,0.1685144124168514,17.54,环保行业,5.19
002662,京威股份,0.15322580645161285,14.88,汽车零部件,-0.72
300994,久祺股份,0.19466666666666663,26.92,交运设备,-3.87
603477,巨星农牧,0.20393974507531862,28.11,农牧饲渔,-0.19
300841,康华生物,0.19928490779074137,15.05,生物制品,0.19
301188,力诺药包,0.16100064143681858,42.85,玻璃玻纤,-0.72
002734,利民股份,0.2922222222222223,56.7,农药兽药,6.89
603062,麦加芯彩,0.2205567451820129,23.04,化学原料,-4.39
600107,美尔雅,0.2804597701149427,-29.53,纺织服装,0.36
300940,南极光,0.21376085504342024,-1757.26,光学光电子,-2.04
600982,宁波能源,0.24819277108433718,20.14,电力行业,-3.3
600215,派斯林,0.1784841075794622,36.66,通用设备,0.52
603659,璞泰来,0.15896820635872816,24.47,电池,-1.74
002039,黔源电力,0.1940401940401941,17.95,电力行业,-4.06
002970,锐明技术,0.2159441134168892,34.12,计算机设备,-2.3
300828,锐新科技,0.20079522862823068,54.49,有色金属,-4.08
301035,润丰股份,0.16984884645982495,34.12,农药兽药,-0.77
001317,三羊马,0.15998641304347816,160.55,物流行业,0.95
002469,三维化学,0.17801047120418853,26.34,化学原料,2.05
605296,神农集团,0.17416829745596865,24.16,农牧饲渔,-1.77
000410,沈阳机床,0.20746268656716413,-93.35,通用设备,-2.84
600201,生物股份,0.17465224111282843,37.27,农药兽药,-1.35
300423,昇辉科技,0.16901408450704242,178.3,电网设备,2.98
003025,思进智能,0.20723047127178817,20.48,通用设备,-1.71
300813,泰林生物,0.1543778801843318,158.75,医疗器械,0.4
000766,通化金马,0.15782828282828282,521.45,化学制药,1.22
300960,通业科技,0.16090909090909086,59.83,交运设备,-2.35
301216,万凯新材,0.2887259395050413,-57.84,化学制品,-2.93
600168,武汉控股,0.15366972477064217,50.95,公用事业,0.41
000510,新金路,0.1711956521739129,-59.27,化学原料,1.23
301277,新天地,0.18213538032100496,26.15,化学制药,2.15
300722,新余国科,0.19798527702440927,90.0,航天航空,-0.7
603416,信捷电气,0.20048750761730663,35.75,专用设备,-0.55
301012,扬电科技,0.2649855312112443,53.67,电网设备,-0.65
603259,药明康德,0.16861435726210353,21.23,医疗服务,3.44
605020,永和股份,0.17420924574209237,46.01,化学制品,3.31
002014,永新股份,0.19499999999999992,16.12,包装材料,-0.34
600725,云维股份,0.15857605177993536,-363.09,煤炭行业,4.73
601717,郑煤机,0.17332328560663157,6.68,汽车零部件,2.27
002707,众信旅游,0.15487316421895864,51.44,旅游酒店,-2.11
000659,珠海中富,0.16287878787878776,-97.61,包装材料,2.73
603057,紫燕食品,0.15671641791044758,17.91,食品饮料,0.2
300181,佐力药业,0.15139171758316364,21.97,中药,3.67
