代码,名字,近期涨跌幅,市盈率,行业,当日涨跌幅2025-08-23 21:45:43
301223,中荣股份,0.08914956011730202,23.06,未知行业,0.22,
301220,亚香股份,0.0758439281017098,16.51,未知行业,0.5,
301230,泓博医药,0.13338879645036036,115.09,未知行业,0.2,
301272,英华特,0.09127089413637583,-294.95,未知行业,-0.39,
301273,瑞晨环保,0.10758311542771756,-23.37,未知行业,-1.52,
301286,侨源股份,0.09352242238405524,50.22,未知行业,-0.86,
301279,金道科技,0.06429780033840946,54.65,未知行业,-0.72,
301298,东利机械,0.08208508088675838,29.03,未知行业,-0.39,
301295,美硕科技,0.09028617492946402,82.47,未知行业,-1.0,
301307,美利信,0.14876033057851246,-24.07,未知行业,-0.18,
301312,智立方,0.1609972041006523,58.93,未知行业,-1.3,
301336,趣睡科技,0.16888642249352562,64.14,未知行业,0.02,
301359,东南电子,0.08854166666666655,61.31,未知行业,-0.75,
301367,瑞迈特,0.1579254079254079,30.04,未知行业,-2.89,
301362,民爆光电,0.0859057190715483,19.46,未知行业,-1.17,
301360,荣旗科技,0.09246845425867503,-98.2,未知行业,-0.18,
301371,敷尔佳,0.05192821687667046,30.77,未知行业,-1.38,
301408,华人健康,0.08292340126493322,24.42,未知行业,0.13,
301468,博盈特焊,0.09940119760479035,62.97,未知行业,-0.75,
301499,维科精密,0.0969258589511754,85.4,未知行业,-0.44,
301500,飞南资源,0.08311855670103087,29.13,未知行业,-0.12,
301510,固高科技,0.15445807093138866,441.62,未知行业,0.91,
301512,智信精密,0.10202671579917087,-29.18,未知行业,-0.51,
301516,中远通,0.13663133097762076,-133.99,未知行业,0.43,
301539,宏鑫科技,0.060560560560560604,75.45,未知行业,-0.77,
301538,骏鼎达,0.19902120717781407,29.97,未知行业,-1.62,
301588,美新科技,0.0954157782515991,37.26,未知行业,-1.46,
301602,超研股份,0.07214953271028036,75.87,未知行业,-0.04,
301603,乔锋智能,0.17155506364139453,25.14,未知行业,1.65,
600054,黄山旅游,0.06303972366148536,59.75,未知行业,-0.17,
600080,金花股份,0.06596306068601583,238.6,未知行业,-1.98,
600097,开创国际,0.06347746090156406,53.15,未知行业,-1.38,
600099,林海股份,0.07588075880758806,182.2,未知行业,-1.86,
600114,东睦股份,0.19185059422750422,32.31,未知行业,0.11,
600201,生物股份,0.09144893111638949,82.7,未知行业,-0.66,
600251,冠农股份,0.09529860228716634,8.93,未知行业,-1.28,
600278,东方创业,0.09742895805142081,31.61,未知行业,-1.11,
600336,澳柯玛,0.10159651669085634,79.16,未知行业,1.76,
600380,健康元,0.06199021207177812,15.0,未知行业,-0.23,
600409,三友化工,0.08623853211009169,-159.04,未知行业,-1.01,
600419,天润乳业,0.09416195856873824,-83.0,未知行业,-1.03,
600558,大西洋,0.054511278195488726,30.24,未知行业,-0.54,
600552,凯盛科技,0.16509028374892518,132.79,未知行业,-1.03,
600560,XD金自天,0.08526187576126665,131.43,未知行业,0.17,
600692,亚通股份,0.16149870801033592,-73.04,未知行业,2.91,
600689,上海三毛,0.13235294117647053,182.04,未知行业,-0.51,
600710,苏美达,0.08865586272640608,11.24,未知行业,-1.77,
600785,新华百货,0.1379883624272652,17.48,未知行业,-2.63,
600838,上海九百,0.05785123966942151,71.9,未知行业,-0.45,
600884,杉杉股份,0.217741935483871,200.56,未知行业,1.03,
600894,广日股份,0.11799999999999997,-178.5,未知行业,-1.54,
600973,宝胜股份,0.12209302325581393,86.59,未知行业,0.18,
600981,汇鸿集团,0.10135135135135129,-131.2,未知行业,-0.31,
601061,中信金属,0.11810012836970485,18.5,未知行业,-0.12,
601162,天风证券,0.1812627291242362,599.27,未知行业,1.78,
601311,骆驼股份,0.10879120879120882,10.92,未知行业,-1.3,
601608,中信重工,0.19006479481641467,60.95,未知行业,0.37,
601618,中国中冶,0.10666666666666662,10.57,未知行业,-0.91,
601717,中创智领,0.13827160493827173,7.45,未知行业,-0.66,
601886,江河集团,0.07084468664850142,15.06,未知行业,-1.03,
603052,可川科技,0.18809005083514888,139.32,未知行业,-0.06,
603068,博通集成,0.1343804537521814,87.31,未知行业,2.35,
603070,万控智造,0.07363770250368189,64.81,未知行业,-0.83,
603075,热威股份,0.1910433539780849,30.66,未知行业,-1.17,
603132,金徽股份,0.10618066561014276,26.27,未知行业,-0.66,
603190,亚通精工,0.0913399396811718,20.95,未知行业,-0.88,
603202,天有为,0.061368209255533136,17.27,未知行业,0.12,
603201,常润股份,0.0970333745364648,15.87,未知行业,-1.47,
