代码,名字,近期涨跌幅,市盈率,行业,当日涨跌幅2025-04-01 21:29:39
002170,芭田股份,0.18756698821007503,34.92,化肥行业,3.46
603325,博隆技术,0.15775433490966417,26.04,通用设备,-1.45
300138,晨光生物,0.15869311551925314,57.06,农牧饲渔,2.14
605399,晨光新材,0.16317626527050602,65.53,化学制品,1.89
603233,大参林,0.15241379310344833,15.23,医药商业,1.83
001328,登康口腔,0.17761692650334063,44.41,美容护理,-0.95
603966,法兰泰克,0.18137847642079807,18.69,专用设备,0.97
300200,高盟新材,0.1580161476355247,25.85,化学制品,3.61
002653,海思科,0.2518203883495145,76.49,化学制药,8.49
300199,翰宇药业,0.29635761589403975,-245.52,化学制药,-1.02
605011,杭州热电,0.18744473916887702,45.05,公用事业,2.62
002595,豪迈科技,0.15697674418604654,22.0,专用设备,0.88
605009,豪悦护理,0.18664643399089537,18.44,美容护理,6.2
301539,宏鑫科技,0.1640625000000001,70.86,汽车零部件,-3.58
301105,鸿铭股份,0.21042216358839058,312.85,专用设备,2.38
000722,湖南发展,0.15138592750533048,58.44,电力行业,4.75
002695,煌上煌,0.202804746494067,57.16,食品饮料,-1.43
300779,惠城环保,0.16465801796269278,467.18,环保行业,2.38
603822,嘉澳环保,0.2439261418853255,-26.0,化学制品,-0.75
002597,金禾实业,0.1512641673931996,27.59,食品饮料,0.55
300849,锦盛新材,0.167728237791932,2092.94,美容护理,0.75
300841,康华生物,0.1896583908904237,15.05,生物制品,2.74
300445,康斯特,0.1769480519480519,34.35,仪器仪表,4.91
600363,联创光电,0.2057702776265651,67.28,光学光电子,3.99
000524,岭南控股,0.156186612576065,38.36,旅游酒店,5.56
301322,绿通科技,0.22543352601156072,24.14,交运设备,-0.22
002690,美亚光电,0.16589861751152082,23.25,专用设备,1.72
300004,南风股份,0.18333333333333335,60.22,专用设备,5.97
603093,南华期货,0.17573221757322188,18.16,多元金融,0.22
430047,诺思兰德,0.2113821138211383,-65.33,生物制品,3.54
002629,仁智股份,0.25925925925925936,-154.44,采掘行业,-1.73
300828,锐新科技,0.23761118170266837,54.49,有色金属,-2.62
002961,瑞达期货,0.1919831223628691,19.27,多元金融,-0.55
605296,神农集团,0.15295926210607227,24.16,农牧饲渔,1.9
300423,昇辉科技,0.16901408450704242,178.3,电网设备,1.91
003025,思进智能,0.17684078036500936,20.48,通用设备,-0.98
603983,丸美生物,0.20044052863436115,46.82,美容护理,2.82
600505,西昌电力,0.15631067961165043,603.14,电力行业,5.99
600415,小商品城,0.23095238095238096,23.2,商业百货,1.84
000997,新 大 陆,0.29251406317611434,27.24,互联网服务,-1.47
603416,信捷电气,0.1653116531165313,35.75,专用设备,-0.02
603790,雅运股份,0.24771341463414648,29.57,化学制品,0.7
002847,盐津铺子,0.2596964586846544,24.09,食品饮料,6.09
603259,药明康德,0.16861435726210353,21.23,医疗服务,1.35
002014,永新股份,0.15794573643410842,16.12,包装材料,1.53
001914,招商积余,0.16539196940726564,15.04,房地产服务,2.27
000733,振华科技,0.2557734204793029,35.15,电子元件,3.63
600645,中源协和,0.16698564593301446,57.78,生物制品,5.58
603057,紫燕食品,0.15671641791044758,17.91,食品饮料,3.03
300181,佐力药业,0.15139171758316364,21.97,中药,2.06
