????,????,?????????,?????,???,?????????2025-07-02 10:50:49
603580,????????,0.12773722627737227,323.92,???????,-1.62
300706,?????,0.12155745489078834,276.96,????,1.64
301259,?????,0.12680180180180187,-161.33,???????,-0.39
301580,??????,0.12283549783549781,29.61,?????§Φ,0.15
300696,?????,0.13296537882589055,-200.76,??????,-1.58
603511,??????,0.15429831006612796,32.02,??????,-2.55
600732,??????,0.2387923147301006,-6.78,????υτ,3.28
600207,??????,0.1103603603603602,-41.8,????υτ,4.89
603373,??????,0.31063829787234043,29.57,??????,1.62
300719,???????,0.1903304773561811,676.12,??????,-2.85
300067,?????,0.11970534069981591,440.16,??????,0.51
600397,???¨²?,0.18829981718464356,-22.63,¨²????,0.97
002993,??????,0.14053905390539054,32.79,???????,-1.5
603001,???????,0.13712374581939787,-13.43,??????,-0.3
300585,????????,0.1284530386740331,-874.85,????????,-1.38
002913,?????,0.15458381281166095,25.27,???????,-2.06
601212,???????,0.16206896551724145,-51.44,???????,3.37
603360,??????,0.15408008109477947,47.21,?????,-3.6
300736,?????,0.10754912099276122,-61.24,??????,-1.03
300614,???????,0.11500000000000006,-18.79,???????,-0.82
300246,??????,0.13443072702331954,-110.12,?????§Φ,-0.73
002992,???????,0.17893423632151143,-147.83,????????,1.04
300402,??????,0.234539089848308,61.47,????υτ,7.63
600456,??????,0.11502590673575136,24.51,§³????,2.12
301037,??????,0.12758620689655176,-19.01,??????,-0.08
002985,??????,0.1567877629063098,73.75,??????,-0.4
601169,????????,0.10534591194968551,4.61,????,1.01
300352,?????,0.11417322834645671,-136.7,????????,-0.72
300548,???????,0.26650227617602423,260.76,????υτ,1.35
300811,???????,0.14734239802224952,39.0,§³????,-2.29
001255,???????,0.14805990469707278,140.77,??????,5.54
300839,??????,0.12114989733059545,-10.16,??????,-1.13
002975,??????,0.10830090791180284,2691.52,????υτ,-1.84
600880,?????,0.11226611226611229,335.91,????,-1.13
002649,??????,0.10378787878787887,36.22,??????????,-1.87
002297,???????,0.10650069156293217,-177.61,??????,-1.01
301468,??????,0.10410958904109595,34.68,????υτ,4.0
603167,???????,0.19395203336809172,11.67,??????,-1.92
000408,?????,0.19945355191256822,23.19,???????,0.76
002160,???????,0.12977099236641226,59.39,???????,2.78
000823,????????,0.1476510067114095,31.07,???????,-3.09
300523,???????,0.10630291627469415,-29.15,??????????,-0.94
003019,?????,0.20313588850174222,30.24,????????,-2.07
300138,????????,0.1916666666666665,57.06,???????,-1.55
300610,???????,0.10993249758919968,27.82,???????,-0.43
