????,????,?????????,?????,???,?????????2025-07-02 10:50:49
300010,???????,0.2561151079136691,115.47,????,-2.06
301075,??????,0.16725421073247157,-72.37,??????,-2.34
301331,??????,0.21539600296076994,88.13,???,-0.4
600563,????????,0.1264356236147491,27.59,???????,-0.79
000890,?????,0.11570247933884296,-28.0,????υτ,0.25
600601,???????,0.14838709677419343,81.05,???????,-3.77
300398,???????,0.10889994472084018,31.66,???????,0.55
301500,???????,0.11477045908183636,35.27,???????,0.32
301232,??????,0.12294782925939442,-22.2,????υτ,0.75
600493,??????,0.16546762589928074,18.52,??????,-0.62
603686,??????,0.16854724964739073,33.29,???????,0.19
600166,????????,0.10276679841897243,33.25,????????,0.0
605189,??????,0.18896925858951175,14.49,??????,0.61
002357,???????,0.18036809815950905,20.53,??΅¤??΅¤,-1.46
002460,?????,0.11601307189542474,-87.76,???????,0.86
002414,??????,0.21589561091340456,544.13,???????,-0.69
603118,???????,0.2014925373134327,512.96,????υτ,-0.8
600059,??????,0.10313447927199186,43.2,??????,-1.3
600067,??????,0.10370370370370363,-38.27,?????υτ,0.34
600622,???¦Α?,0.10486891385767799,-14.8,?????????,-0.35
300620,?????,0.11221122112211215,170.51,????υτ,-2.48
002152,??????,0.12408163265306119,38.67,??????υτ,-0.68
300900,????????,0.11330275229357793,99.22,??????,-0.92
600992,???????,0.24006001500375101,-128.36,????υτ,4.62
601997,????????,0.10256410256410266,4.09,????,1.26
603778,??????,0.14046822742474913,-10.8,????υτ,1.49
000688,??????,0.11249999999999998,210.12,???????,1.14
000750,??????,0.13136729222520102,62.09,??,-0.25
300672,?????,0.13643553915106768,185.04,????,-1.76
300786,??????,0.17944899478778856,-57.81,???????,0.57
002093,???????,0.10947562097516111,71.73,??????,1.29
301162,????????,0.13868304044039814,68.78,????????,-2.6
301203,???????,0.10943775100401605,18.86,???????,-0.18
002736,??????,0.10232558139534881,15.78,??,1.57
300720,????????,0.12811735941320299,98.07,???????,0.14
002184,???????,0.11862990810359231,-35.5,????υτ,-1.23
002465,???????,0.13149350649350644,123.0,????υτ,-0.52
301262,???????,0.1274593669803251,24.53,??????,-0.73
301063,???????,0.2652499016135379,78.35,????υτ,5.2
301155,???????,0.19291720569210855,112.7,????υτ,1.54
300201,??????,0.12449799196787131,33.21,?????§Φ,-1.79
002163,??????,0.11840562719812425,-27.27,????????,-0.52
000886,???????,0.13499999999999993,140.95,??΅¤??΅¤,0.44
002084,??????,0.1052631578947368,-334.89,??????,1.13
603269,??????,0.10244470314318985,49.36,????υτ,-0.42
603069,????????,0.15578158458244112,-766.41,??΅¤??΅¤,0.05
002320,??????,0.10472972972972974,57.63,??????,0.15
003011,???????,0.11768184506209334,755.19,???????,1.56
301270,??????,0.20080020005001253,572.43,??????????,-1.15
603298,???δπ??,0.16132422490803994,13.34,?????§Φ,3.9
002389,??????,0.1684162482884528,2584.26,??????,-0.91
000738,????????,0.12162162162162163,32.42,??????,-1.5
600893,????????,0.11066282420749268,105.61,??????,-1.08
600501,??????,0.13292884721456152,-36.81,????υτ,-1.46
600879,???????,0.18305084745762723,43.08,??????,-1.75
300477,??????,0.23076923076923075,-13.98,?????υτ,3.45
002383,??????,0.18498942917547567,-75.89,??????υτ,-2.77
300550,??????,0.11183144246353328,3066.4,????????,-0.83
301237,??????,0.12569169960474308,-67.55,???????,-0.07
002971,???????,0.13346228239845268,51.38,??????,-2.39
000923,??????,0.13744075829383887,12.24,???????,1.69
002591,??????,0.11517367458866544,88.7,??????????,0.17
603661,??????,0.1399700598802396,12.12,??????,-1.15
603137,???§ί???,0.10194902548725633,18.14,??????,-0.07
300081,???????,0.12025316455696199,-25.26,??????,-1.57
002132,??????,0.14984709480122316,168.31,????υτ,0.84
603116,??????,0.15083798882681557,-216.1,??????,-0.49
605366,??????,0.10801393728222998,-208.28,??????,2.58
603002,???????,0.2490974729241877,157.29,???????,-4.62
002379,?????,0.24178832116788307,-194.55,???????,0.67
600331,?????,0.2458333333333334,517.44,???????,1.7
301246,?????,0.11271676300578039,118.78,??????,-1.38
300219,???????,0.127831715210356,42.95,????????,-2.58
301285,?????,0.21593830334190228,174.99,???????,2.41
003002,???????,0.10818146568437376,38.39,??????,-0.63
002716,???????,0.18361581920903966,65.69,?????,1.75
600731,???????,0.12254160363086226,12.95,?????,-1.11
300627,??????,0.1254019292604501,39.79,????υτ,-1.12
001217,?????,0.10388437217705514,35.26,??????,-0.76
301093,???????,0.11125654450261788,54.13,?????§Φ,3.1
301027,????????,0.1065719360568384,-68.85,???????????,-2.22
002270,???????,0.1332470892626131,23.23,?????υτ,1.26
300929,??????,0.10613943808532793,-77.27,???????,-0.28
603296,???????,0.18212454212454224,31.02,???????,-1.2
603855,??????,0.10316698656429936,18.83,????υτ,1.09
301302,??????,0.18885047536732935,-11.17,????????,-0.22
002494,??????,0.14317673378076076,491.49,??????,-1.57
605196,???????,0.11543134872417973,20.02,?????υτ,-1.63
002926,??????,0.1239470517448856,68.72,??,4.47
600015,????????,0.11732605729877209,4.42,????,1.87
301265,???????,0.12447257383966241,53.32,???????,-0.1
600621,???¦Ι??,0.10154061624649868,38.78,??,-0.78
003043,????????,0.1737982039091389,52.5,????υτ,-3.56
300027,???????,0.10483870967741944,-133.74,??????,0.37
603799,???????,0.14349910125823842,15.74,???????,0.24
603186,???????,0.2056148675365757,-41.66,???????,-1.97
300490,??????,0.11209068010075562,-18.85,?????υτ,-1.61
603181,???????,0.1373390557939914,18.55,???????,2.08
600172,???????,0.10268948655256722,-11.67,?????????,-1.8
301581,??????,0.12543059777102325,41.25,????????,-1.89
300041,???????,0.12850467289719622,24.7,??????,-1.45
600981,??έ‹??,0.11328125000000001,-53.71,¨®?????,1.07
001267,???????,0.17827626918536005,208.86,???????,-2.0
300609,??????,0.12110030191211013,-67.51,??????????,-1.32
300371,???§Ϋ??,0.10772163965681592,30.41,???????,-0.86
300779,??????,0.12636085626911314,467.18,???????,-0.53
301555,??????,0.11472868217054266,-332.12,??????,-1.29
002339,???????,0.10825439783491203,-31.43,?????υτ,0.25
300597,???????,0.11954022988505758,236.49,??????,-1.96
300566,??????,0.10451977401129951,25.27,????????,-1.19
300022,??????,0.17353308364544326,-107.14,?????§Φ,-0.74
603429,??????,0.20123456790123467,-57.4,?????,-1.26
300264,??????,0.12041884816753917,-59.16,??????????,-1.09
300793,???????,0.11547911547911541,78.44,???????,-2.94
301586,??????,0.16755428103236378,45.11,??????,1.13
300213,??????,0.15877080665813076,118.86,????υτ,-0.79
002486,?????,0.1004184100418409,86.11,??????,0.0
002484,???????,0.13829201101928384,31.73,???????,-2.77
002226,???????,0.1637426900584795,15.53,??????,-2.85
600901,???????,0.11247803163444633,9.71,???????,1.44
002438,???????,0.12478031634446396,19.95,????υτ,-0.78
600919,????????,0.12885662431941924,5.38,????,0.99
301061,??????,0.14874074074074084,21.29,??????,-1.8
002315,??????,0.16943946762221646,30.97,??????????,-1.49
002859,???????,0.12066115702479346,38.13,???????,-0.95
300845,??????,0.10039370078740154,178.97,????????,-1.53
002855,???????,0.19939209726443777,-21.66,???????,-3.45
301041,?????,0.12734409071085923,105.27,???????,-1.62
002202,?????,0.11542610571736789,16.32,????υτ,0.19
300093,?????,0.15291051259774108,-5.83,????υτ,1.4
300443,??????,0.16615067079463378,36.52,????υτ,-1.06
301059,??????,0.15809523809523812,52.14,??????,-3.45
300334,??????,0.10551181102362205,-122.2,???????,0.43
600199,???????,0.10330992978936804,-58.69,??????,1.5
600322,??????,0.23983739837398368,-9.64,?????????,1.69
300763,??????,0.11585835257890677,22.79,????υτ,1.7
000712,???????,0.14103653355989806,-94.82,??,-1.08
300400,??????,0.11046133853151392,54.17,????υτ,-1.46
601778,??????,0.14068441064638787,34.36,???????,-0.34
301010,???????,0.10154241645244216,78.74,??????,0.23
300808,???????,0.10814708002883923,-224.28,????????,-2.74
300631,??????,0.11165480427046254,107.83,???????,-0.25
002777,???????,0.10120481927710841,327.1,??????????,-1.65
300516,?????,0.19532654284002382,245.77,???????,3.66
600160,??????,0.1014052411697684,41.06,??????,-0.55
301073,??????,0.15687181860249888,181.65,???¦Ξ??,-0.33
301458,???????,0.13818181818181818,83.58,???????,-3.37
603386,??????,0.18647166361974415,-202.73,???????,-2.08
300863,??????,0.17535834095760902,43.33,????????,1.85
301391,??????,0.1593733117233927,264.89,??????υτ,-1.67
300257,??????,0.1021739130434784,33.67,????υτ,0.9
300407,????????,0.10104166666666674,41.17,?????υτ,-0.38
300326,?????,0.1425389755011135,67.05,?????§Φ,0.2
300912,???????,0.12905660377358497,-10.11,????????,-0.07
603458,??????,0.13649425287356323,-17.7,???????????,-0.89
300841,????????,0.15505500261917238,15.05,???????,-1.89
002119,???????,0.17619680851063846,64.15,????,-3.22
600076,???????,0.1004566210045663,-18.56,??????,0.0
002972,?????,0.10592459605026927,31.18,?????υτ,-1.14
300731,??????,0.1905689789555729,264.67,?????,-0.5
300092,???????,0.18725099601593623,19.03,????υτ,0.49
603052,??????,0.10470588235294125,67.57,???????,-2.14
301311,????????,0.22684931506849318,-564.44,????υτ,3.51
600826,???????,0.10661268556005386,22.24,¨®?????,-0.85
300484,????????,0.13021868787276328,166.9,????υτ,-1.77
601798,???????,0.14899328859060407,-96.61,????υτ,5.42
300487,???????,0.10995445673389721,31.56,???????,0.48
300288,???????,0.12381646030589943,103.54,??????????,-2.85
600135,??????,0.11399711399711401,-50.72,???????,-0.26
300003,???????,0.21800947867298576,21.03,?????§Φ,3.98
301050,??????,0.12068965517241367,27.54,????,-1.67
300557,???????,0.12106537530266344,92.79,???????,-1.41
605118,???????,0.1723826714801444,61.77,????????,-0.96
300800,??????,0.10368217054263569,90.6,???????,2.61
002475,???????,0.11072000000000003,24.35,???????,-2.1
605167,??????,0.27713178294573637,16.58,????υτ,3.2
301369,???????,0.13590872698158524,201.05,????,-3.26
002442,??????,0.10238907849829344,20.54,?????,0.78
603729,??????,0.10783055198973052,441.72,??????,0.24
603993,???????,0.22695035460992916,15.07,§³????,1.53
603321,΅Β?????,0.10614525139664802,15.73,????υτ,-0.64
