代码,名字,近期涨跌幅,市盈率,行业,当日涨跌幅2025-05-29 21:07:48
603373,安邦护卫,0.29477993858751295,29.57,专业服务,3.58
000553,安道麦A,0.17241379310344826,-5.0,农药兽药,0.14
002875,安奈儿,0.23076923076923067,-28.42,纺织服装,1.19
300866,安克创新,0.24065698643180194,27.12,消费电子,2.27
603001,奥康国际,0.20075757575757566,-13.43,纺织服装,-1.11
300082,奥克股份,0.18739635157545603,-26.09,化学原料,-0.42
600721,百花医药,0.15233785822021112,62.31,医疗服务,2.28
603151,邦基科技,0.1536189069423929,36.71,农牧饲渔,-0.27
002037,保利联合,0.15964240102171137,-51.45,化学制品,2.7
600262,北方股份,0.20751879699248124,22.52,专用设备,1.22
301195,北路智控,0.18718025880228728,26.64,软件开发,2.84
301181,标榜股份,0.21155516941789754,25.28,汽车零部件,-0.63
300839,博汇股份,0.2114014251781472,-10.16,石油行业,-0.2
001255,博菲电气,0.22740963855421698,140.77,化学原料,3.71
600960,渤海汽车,0.23433242506812,-15.07,汽车零部件,5.35
300826,测绘股份,0.1661039837947332,129.65,工程咨询服务,6.28
301049,超越科技,0.15019011406844107,-49.9,环保行业,0.67
000848,承德露露,0.17929562433297777,16.37,食品饮料,-1.83
300689,澄天伟业,0.16194968553459127,7434.9,通信设备,0.69
603129,春风动力,0.1811483739837399,18.36,交运设备,4.6
300991,创益通,0.15874620829120326,-564.81,电子元件,3.48
002343,慈文传媒,0.16768292682926839,227.3,文化传媒,4.5
002731,萃华珠宝,0.2720739219712526,16.74,珠宝首饰,-4.44
002901,大博医疗,0.169642857142857,42.56,医疗器械,1.1
301511,德福科技,0.19883040935672508,-38.15,电池,-1.07
300640,德艺文创,0.1610017889087657,123.5,家用轻工,-0.77
002715,登云股份,0.16291390728476815,141.54,汽车零部件,-0.7
300486,东杰智能,0.22852760736196323,-29.94,专用设备,4.03
605499,东鹏饮料,0.15348785627148712,36.14,食品饮料,0.18
301028,东亚机械,0.16416593115622236,20.24,通用设备,1.18
301528,多浦乐,0.17763310857940015,76.04,仪器仪表,0.62
300398,飞凯材料,0.16799091940976146,31.66,电子化学品,4.35
600615,丰华股份,0.16803278688524598,397.39,小金属,1.42
605050,福然德,0.2188879082082966,18.2,物流行业,0.74
301529,福赛科技,0.2658898305084746,41.67,汽车零部件,-1.73
301258,富士莱,0.276674025018396,125.89,化学制药,-1.42
603087,甘李药业,0.1555881736213043,40.75,生物制品,4.61
605099,共创草坪,0.18540729635182393,16.71,家用轻工,-2.53
600067,冠城新材,0.22500000000000003,-38.27,电网设备,1.38
600936,广西广电,0.18888888888888894,-7.63,文化传媒,5.16
301289,国缆检测,0.15351351351351356,55.21,专业服务,2.91
600562,国睿科技,0.2766990291262135,55.38,通信设备,-0.97
300329,海伦钢琴,0.16119402985074627,-89.71,家用轻工,0.27
003011,海象新材,0.18080210387902695,755.19,塑料制品,0.57
603616,韩建河山,0.27272727272727265,-26.53,水泥建材,1.5
603898,好莱客,0.19312436804853386,26.64,装修建材,-0.51
000757,浩物股份,0.1534653465346535,-70.07,汽车服务,2.0
301393,昊帆生物,0.16684676896477196,35.89,生物制品,4.51
002971,和远气体,0.16557377049180313,51.38,化学制品,2.01
300952,恒辉安防,0.19448757763975147,35.97,纺织服装,6.58
603223,恒通股份,0.23112659698025556,41.82,物流行业,0.66
603116,红蜻蜓,0.15192307692307694,-216.1,纺织服装,0.67
300471,厚普股份,0.17416378316032294,-48.5,专用设备,1.23
000963,华东医药,0.15958299919807556,17.75,化学制药,1.95
002248,华东数控,0.19162436548223358,225.01,通用设备,1.68
600475,华光环能,0.198218262806236,13.66,电源设备,-0.28
300970,华绿生物,0.1823204419889503,-33.09,农牧饲渔,-0.56
300345,华民股份,0.212793733681462,-12.97,光伏设备,2.77
605196,华通线缆,0.22662677636499623,20.02,电网设备,-1.34
002928,华夏航空,0.22527472527472522,24.33,航空机场,-1.46
600605,汇通能源,0.1531890660592256,78.85,房地产服务,3.14
300891,惠云钛业,0.15931372549019615,227.14,化学原料,2.89
603997,继峰股份,0.15529991783073135,-19.81,汽车零部件,-0.58
002495,佳隆股份,0.1583333333333333,111.23,食品饮料,-0.74
603535,嘉诚国际,0.24482338611449447,22.45,物流行业,-0.59
