代码,名字,近期涨跌幅,市盈率,行业,当日涨跌幅2025-03-31 19:51:21
603325,博隆技术,0.1600048596768315,26.04,通用设备,-1.82
605399,晨光新材,0.16317626527050602,65.53,化学制品,1.68
001328,登康口腔,0.22254335260115593,44.41,美容护理,3.37
002653,海思科,0.19508495145631066,76.49,化学制药,-3.45
300199,翰宇药业,0.29635761589403975,-245.52,化学制药,4.05
605011,杭州热电,0.18744473916887702,45.05,公用事业,3.22
301539,宏鑫科技,0.1640625000000001,70.86,汽车零部件,3.09
603800,洪田股份,0.22570422535211282,63.78,专用设备,0.27
000722,湖南发展,0.15138592750533048,58.44,电力行业,4.75
002695,煌上煌,0.202804746494067,57.16,食品饮料,3.91
603822,嘉澳环保,0.25959456799842545,-26.0,化学制品,2.8
002597,金禾实业,0.1512641673931996,27.59,食品饮料,1.44
300849,锦盛新材,0.167728237791932,2092.94,美容护理,-0.56
001230,劲旅环境,0.1519125683060108,17.54,环保行业,1.66
300841,康华生物,0.1896583908904237,15.05,生物制品,-0.62
600363,联创光电,0.24765302290649654,67.28,光学光电子,1.68
301322,绿通科技,0.22543352601156072,24.14,交运设备,4.32
603093,南华期货,0.17573221757322188,18.16,多元金融,-2.85
430047,诺思兰德,0.1699926090169993,-65.33,生物制品,3.87
002970,锐明技术,0.20898876404494374,34.12,计算机设备,-1.82
300828,锐新科技,0.2707110241356817,54.49,有色金属,7.33
003025,思进智能,0.1895674300254452,20.48,通用设备,1.88
603416,信捷电气,0.1958680969408025,35.75,专用设备,4.9
002847,盐津铺子,0.20087170740951285,24.09,食品饮料,4.14
603259,药明康德,0.16861435726210353,21.23,医疗服务,-0.69
002014,永新股份,0.15794573643410842,16.12,包装材料,-0.34
001914,招商积余,0.1875,15.04,房地产服务,-1.32
605080,浙江自然,0.1593349497748527,19.58,纺织服装,-3.79
601717,郑煤机,0.1944235116804823,6.68,汽车零部件,4.48
000659,珠海中富,0.15555555555555553,-97.61,包装材料,-3.53
603057,紫燕食品,0.15671641791044758,17.91,食品饮料,-0.21
300181,佐力药业,0.15139171758316364,21.97,中药,-0.54
