代码,名字,近期涨跌幅,市盈率,行业,当日涨跌幅2025-05-19 11:59:21
603001,奥康国际,0.16201117318435757,-13.43,纺织服装,4.17
603151,邦基科技,0.17499999999999988,36.71,农牧饲渔,0.74
003006,百亚股份,0.2487675388699279,34.84,美容护理,1.04
605599,菜百股份,0.18785890073831019,12.67,珠宝首饰,-0.14
001270,铖昌科技,0.25032299741602065,-167.03,半导体,1.85
601515,东峰集团,0.23192771084337352,-24.74,包装材料,-1.48
603810,丰山集团,0.20398406374501982,-63.25,农药兽药,0.73
002743,富煌钢构,0.1547049441786285,29.53,水泥建材,3.13
430476,海能技术,0.25514705882352945,75.41,仪器仪表,1.51
605009,豪悦护理,0.22559694364851948,18.44,美容护理,4.84
430478,峆一药业,0.2825542570951586,19.93,化学制药,-2.96
002685,华东重机,0.1543026706231454,148.77,通用设备,0.13
300492,华图山鼎,0.16069767441860458,72.03,工程咨询服务,1.13
601579,会稽山,0.228125,33.46,酿酒行业,6.5
300022,吉峰科技,0.20197740112994347,-107.14,工程机械,0.36
300553,集智股份,0.28056206088992963,241.51,仪器仪表,-3.12
603997,继峰股份,0.23826395039858295,-19.81,汽车零部件,2.42
300877,金春股份,0.2020275162925417,105.31,纺织服装,-3.92
603607,京华激光,0.16144018583042982,34.32,造纸印刷,-0.55
600578,京能电力,0.23595505617977536,12.17,电力行业,1.15
600499,科达制造,0.2294478527607361,16.33,专用设备,2.46
300405,科隆股份,0.15164835164835175,-54.24,化学制品,1.35
002734,利民股份,0.2583979328165375,56.7,农药兽药,1.89
002293,罗莱生活,0.15903614457831305,19.45,纺织服装,4.23
301307,美利信,0.16455696202531656,-83.4,通信设备,3.51
603313,梦百合,0.20566318926974664,-18.13,装修建材,0.75
600000,浦发银行,0.16272469252601693,6.87,银行,-0.33
002948,青岛银行,0.16627078384798105,5.71,银行,0.41
603193,润本股份,0.2907328891580858,40.57,美容护理,-3.28
603938,三孚股份,0.19033000767459712,67.47,化学制品,0.48
603379,三美股份,0.21906895693303452,33.47,化学制品,-0.86
600057,厦门象屿,0.1539735099337748,14.43,物流行业,0.72
000016,深康佳Ａ,0.16041666666666676,-6.0,家电行业,2.5
301228,实朴检测,0.16565217391304343,-45.44,专业服务,0.38
300650,太龙股份,0.1869565217391303,65.03,光学光电子,0.92
301263,泰恩康,0.21725731895223424,54.94,医药商业,0.0
300702,天宇股份,0.16666666666666685,57.03,化学制药,-1.42
603117,万林物流,0.20454545454545453,128.41,物流行业,7.32
300888,稳健医疗,0.2004597701149425,34.67,美容护理,0.48
600415,小商品城,0.1518644067796609,23.2,商业百货,-2.77
301367,怡和嘉业,0.2860023041474654,32.57,医疗器械,7.18
000626,远大控股,0.21497120921305185,-28.55,贸易行业,0.8
002346,柘中股份,0.18078175895765478,-26.56,电网设备,0.51
601919,中远海控,0.15525758645024706,4.49,航运港口,0.62
601963,重庆银行,0.156530408773679,5.15,银行,1.87
