代码,名字,近期涨跌幅,市盈率,行业,当日涨跌幅2025-08-23 21:45:43
300708,聚灿光电,0.073863636,38.7,未知行业,-0.85
300354,东华测试,0.119979403,38.84,未知行业,0.61
2876,三利谱,0.06503443,40.3,未知行业,0
603289,泰瑞机器,0.092708333,41.57,未知行业,-1.73
301058,中粮科工,0.108325873,41.72,未知行业,0.5
2957,科瑞技术,0.071727436,42.04,未知行业,0.11
603686,福龙马,0.245891277,42.68,未知行业,-0.21
300679,电连技术,0.107715648,43.84,未知行业,-0.28
301059,金三江,0.069609508,45.96,未知行业,-2
603297,永新光学,0.157967508,49.46,未知行业,1.68
300221,银禧科技,0.16300578,49.74,未知行业,-1
603324,盛剑科技,0.062239089,50.07,未知行业,0.84
301286,侨源股份,0.093522422,50.22,未知行业,-0.86
2870,香山股份,0.064002404,50.5,未知行业,-0.09
300790,宇瞳光学,0.230314065,51.22,未知行业,2.45
603308,应流股份,0.123547637,51.49,未知行业,2.11
600097,开创国际,0.063477461,53.15,未知行业,-1.38
300026,红日药业,0.050970874,53.16,未知行业,0
301279,金道科技,0.0642978,54.65,未知行业,-0.72
300427,红相股份,0.146263911,58.14,未知行业,-1.8
301312,智立方,0.160997204,58.93,未知行业,-1.3
600054,黄山旅游,0.063039724,59.75,未知行业,-0.17
301221,光庭信息,0.127083742,60.47,未知行业,0.74
601608,中信重工,0.190064795,60.95,未知行业,0.37
301359,东南电子,0.088541667,61.31,未知行业,-0.75
301468,博盈特焊,0.099401198,62.97,未知行业,-0.75
301336,趣睡科技,0.168886422,64.14,未知行业,0.02
603070,万控智造,0.073637703,64.81,未知行业,-0.83
300834,星辉环材,0.101410935,65.07,未知行业,0.33
300792,壹网壹创,0.184795795,65.12,未知行业,0.6
2930,宏川智慧,0.115591398,66.71,未知行业,-0.49
603386,骏亚科技,0.156272401,67.35,未知行业,-0.13
300933,中辰股份,0.129653402,68.38,未知行业,0
600838,上海九百,0.05785124,71.9,未知行业,-0.45
300099,尤洛卡,0.079387187,72.52,未知行业,1.07
301539,宏鑫科技,0.060560561,75.45,未知行业,-0.77
301602,超研股份,0.072149533,75.87,未知行业,-0.04
603489,八方股份,0.097062105,78.4,未知行业,0.38
300275,梅安森,0.136295181,78.45,未知行业,-1.61
600336,澳柯玛,0.101596517,79.16,未知行业,1.76
300136,信维通信,0.143518519,79.58,未知行业,-0.34
301295,美硕科技,0.090286175,82.47,未知行业,-1
600201,生物股份,0.091448931,82.7,未知行业,-0.66
300176,鸿特科技,0.072135785,84.68,未知行业,-0.8
301499,维科精密,0.096925859,85.4,未知行业,-0.44
301202,朗威股份,0.194633925,85.41,未知行业,1.37
600973,宝胜股份,0.122093023,86.59,未知行业,0.18
603068,博通集成,0.134380454,87.31,未知行业,2.35
300655,晶瑞电材,0.175146771,89.93,未知行业,4.13
300964,本川智能,0.098436468,90.42,未知行业,-0.25
300543,朗科智能,0.115384615,96.4,未知行业,-0.16
603358,华达科技,0.124321235,99.6,未知行业,0.83
300672,国科微,0.191280921,101.26,未知行业,2.43
603291,联合水务,0.073630137,104.73,未知行业,-1.12
300222,科大智能,0.118102614,105.36,未知行业,0.89
300327,中颖电子,0.101782178,113.56,未知行业,1.22
2931,锋龙股份,0.113099042,114.63,未知行业,-0.7
301230,泓博医药,0.133388796,115.09,未知行业,0.2
300980,祥源新材,0.09556907,117.78,未知行业,-0.57
301135,瑞德智能,0.140035273,122.05,未知行业,-0.47
300063,天龙集团,0.129564193,124.2,未知行业,1.73
300235,方直科技,0.108042242,127.88,未知行业,0.23
600560,XD金自天,0.085261876,131.43,未知行业,0.17
600552,凯盛科技,0.165090284,132.79,未知行业,-1.03
300640,德艺文创,0.0984375,136.56,未知行业,-0.58
603052,可川科技,0.188090051,139.32,未知行业,-0.06
300171,东富龙,0.117981521,146.36,未知行业,-2.16
301118,恒光股份,0.094993582,165.15,未知行业,-1.07
600689,上海三毛,0.132352941,182.04,未知行业,-0.51
600099,林海股份,0.075880759,182.2,未知行业,-1.86
300471,厚普股份,0.077687444,187.17,未知行业,-0.76
300094,国联水产,0.091836735,196.5,未知行业,-1.87
300681,英搏尔,0.161244696,196.77,未知行业,0.47
300818,耐普矿机,0.192205492,198.83,未知行业,-1
600884,杉杉股份,0.217741935,200.56,未知行业,1.03
301113,雅艺科技,0.075219197,209.76,未知行业,-2.06
300050,世纪鼎利,0.225177305,213.75,未知行业,2.88
600080,金花股份,0.065963061,238.6,未知行业,-1.98
300281,金明精机,0.14586071,247.14,未知行业,-1.83
2903,宇环数控,0.088516746,260.64,未知行业,0.95
301016,雷尔伟,0.107017544,275.16,未知行业,-1.85
2949,华阳国际,0.085043988,289.43,未知行业,-1.22
300883,龙利得,0.0765625,333.18,未知行业,-0.59
300407,凯发电气,0.121722846,396.97,未知行业,-0.93
2747,埃斯顿,0.168571429,416.37,未知行业,1.13
301510,固高科技,0.154458071,441.62,未知行业,0.91
601162,天风证券,0.181262729,599.27,未知行业,1.78
300390,天华新能,0.078046324,1324.35,未知行业,0.68
603272,联翔股份,0.108244532,1751.62,未知行业,-0.92
300936,中英科技,0.068915312,5661.91,未知行业,0.02
