序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
5160,301122,采纳股份,23.48,-2.69,-0.65,39270,92534347.6,2.2,23.89,23.36,23.7,24.13,1.45,5.83,37.47,1.58,2870328050,1581108755,0,0.04,2.76,16.07
1836,603073,彩蝶实业,15.75,0.9,0.14,10471,16408195,1.67,15.76,15.5,15.6,15.61,0.94,2.06,20.76,1.39,1827000000,801562356,0,0.25,-4.49,7.8
889,600707,彩虹股份,8.05,2.16,0.17,406570,325178506,2.41,8.08,7.89,7.95,7.88,1.77,1.13,17.63,1.34,28886537343,28880741343,-0.12,0.12,2.16,-2.07
2946,3023,彩虹集团,18.9,0.16,0.03,17508,33037228.4,1.48,18.99,18.71,18.99,18.87,0.72,1.67,20.91,1.32,1990956240,1985867302,0,0.05,-9.87,5.65
4367,300634,彩讯股份,29.02,-0.85,-0.25,128522,372609158,2.32,29.38,28.7,29.29,29.27,0.58,2.96,50.32,4.83,13094140318,12614439718,0.07,0.14,13.27,33.12
4508,605599,菜百股份,12.03,-0.99,-0.12,91686,111062038,3.05,12.34,11.97,12.08,12.15,0.8,1.18,12.67,2.44,9356666934,9356666934,0.17,0.08,-0.25,5.99
2180,600230,沧州大化,10.75,0.66,0.07,24269,26036381,0.75,10.76,10.68,10.68,10.68,0.62,0.59,157.17,1.12,4450080911,4450080911,0,0.19,-9.51,0.28
4050,2108,沧州明珠,3.45,-0.58,-0.02,279282,96964985.27,1.73,3.51,3.45,3.48,3.47,1.35,1.69,31.14,1.13,5745611536,5686854786,0,-0.29,-13.53,-3.9
3329,408,藏格矿业,36.79,-0.03,-0.01,93369,342902932,1.82,37.05,36.38,36.8,36.8,0.57,0.59,23.19,4.37,57768605159,57767998124,-0.03,-0.03,27.97,32.67
2051,300826,测绘股份,16.3,0.74,0.12,36150,58806816.5,2.04,16.43,16.1,16.38,16.18,1.06,2.25,129.65,2.05,2713999764,2622173046,0,-0.06,-13.89,-10.83
