序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
718,300689,澄天伟业,35.21,2.59,0.89,9374,32538640.26,3.9,35.35,34.01,34.76,34.32,0.64,0.93,7434.9,6.14,4070276000,3562650754,0.17,-0.2,34.08,37.97
955,600078,澄星股份,5.62,2,0.11,143839,80595618,2.36,5.66,5.53,5.53,5.51,1.27,2.17,-41.08,2.13,3723659479,3723659479,0,0.18,-16.99,-3.1
4531,600497,驰宏锌锗,5.89,-1.01,-0.06,781322,462414276,1.51,5.98,5.89,5.96,5.95,0.54,1.53,15.26,1.81,29987707336,29987707336,-0.17,-0.17,-4.07,5.75
4807,600988,赤峰黄金,19.44,-1.47,-0.29,349541,683745650,2.74,19.89,19.35,19.68,19.73,0.88,2.1,24.66,5.11,36344312068,32346437188,0.05,0,12.5,24.54
1070,600227,赤天化,2.26,1.8,0.04,240285,54303742,3.6,2.3,2.22,2.22,2.22,1.4,1.88,-82.7,1.46,3816524568,2887375555,0,0,-30.89,-6.61
641,2815,崇达技术,12.29,2.85,0.34,354220,426898377.8,5.36,12.39,11.75,11.97,11.95,1.36,5.53,38,1.9,13288580751,7875980306,0,-0.16,16.71,20.49
3753,301548,崇德科技,50.24,-0.36,-0.18,16048,80545117.29,3.61,51,49.18,50.38,50.42,0.57,6.77,38.44,3.05,4370880000,1190361139,-0.02,-0.22,5.28,16.19
4386,601999,出版传媒,6.8,-0.87,-0.06,47658,32580076,1.6,6.9,6.79,6.89,6.86,1.01,0.87,64.28,1.47,3746219960,3746219960,-0.29,-0.29,-10.53,8.45
4918,300250,初灵信息,18.67,-1.69,-0.32,124432,232194828.9,3.42,19.08,18.43,18.89,18.99,0.45,7.89,-99.21,7.14,3996639833,2943788460,-0.05,-0.16,8.42,32.41
2118,1336,楚环科技,20.19,0.7,0.14,11842,23704604.27,2.69,20.25,19.71,20.05,20.05,1.09,4.15,56.33,2.09,1622740965,576571079,-0.05,-0.15,-5.12,14.85
4935,2171,楚江新材,9.7,-1.72,-0.17,308477,304269769.8,4.76,10.16,9.69,9.83,9.87,1.21,2.06,63.66,1.95,14632895608,14543690509,0,-0.1,1.57,18.29
2445,600035,楚天高速,4.26,0.47,0.02,128228,54619115,0.94,4.28,4.24,4.25,4.24,1.19,0.8,8.69,0.79,6859093738,6859093738,-0.23,-0.23,-8.78,-7.39
3606,300358,楚天科技,7.73,-0.26,-0.02,89469,69411554.48,1.81,7.83,7.69,7.73,7.75,0.65,1.55,-18.28,1.02,4563054643,4453904662,0,0.13,-6.87,12.68
3654,3040,楚天龙,13.7,-0.29,-0.04,73142,100494015,2.04,13.89,13.61,13.78,13.74,0.68,1.6,-167.51,4.48,6317562816,6258848535,0,0,-15.38,4.82
253,2253,川大智胜,13.53,5.05,0.65,277854,370009102.1,12.03,14.17,12.62,12.9,12.88,1.11,13.37,-84.68,2.59,3052721065,2811121741,-0.15,-0.37,-23.34,-2.1
3785,2312,川发龙蟒,13.11,-0.38,-0.05,370853,487472224.5,0.91,13.21,13.09,13.16,13.16,0.73,2.12,43.72,2.64,24769229295,22984956932,0,0,-24.22,-9.4
2581,2895,川恒股份,23.58,0.38,0.09,51817,122631544.4,1.23,23.79,23.5,23.57,23.49,0.93,0.97,14.17,2.23,12701708674,12659087824,-0.04,-0.08,5.03,-4.15
1263,300547,川环科技,40.8,1.52,0.61,198603,793480050.4,6.32,41.07,38.53,39.6,40.19,0.68,11.14,44.99,7.72,8849771899,7271522758,0.07,-0.1,101.08,48.15
1233,300505,川金诺,16.99,1.55,0.26,201030,338301276.9,4.3,17.17,16.45,16.7,16.73,0.91,9.25,26.53,1.84,4669999216,3692967162,0.06,-0.06,3.85,17.99
2227,155,川能动力,11.17,0.63,0.07,211515,236319273.4,1.71,11.24,11.05,11.07,11.1,1.2,1.25,24.56,2.03,20621700380,18916644851,-0.09,-0.18,-8.29,4.59
4269,301301,川宁生物,12.91,-0.77,-0.1,149323,193325284.1,1.46,13.08,12.89,13.05,13.01,0.71,2.42,20.04,3.8,28752635600,7951170329,-0.08,-0.08,-4.37,8.85
1068,2272,川润股份,11.3,1.8,0.2,609410,686541204.8,5.05,11.5,10.94,11.03,11.1,1.11,16.06,-132.57,3.43,5479113490,4289178832,-0.09,0.09,5.9,14.72
3704,600674,川投能源,15.21,-0.33,-0.05,197790,302564405,1.38,15.41,15.2,15.28,15.26,1.13,0.41,12.58,1.76,74142769854,74142769854,-0.07,0,-10,-11.83
4151,300987,川网传媒,16.49,-0.66,-0.11,52556,86386517.2,2.95,16.8,16.31,16.75,16.6,0.71,3.03,206.64,3.61,2858838320,2858838320,0.06,0.06,-5.72,16.45
4226,603100,川仪股份,21.78,-0.73,-0.16,45947,100560159,1.5,22.08,21.75,22.02,21.94,0.64,0.9,15.02,2.64,11178508422,11108792275,-0.05,-0.09,1.11,2.49
3734,2010,传化智联,5.62,-0.35,-0.02,515070,289587468,3.19,5.74,5.56,5.68,5.64,0.61,1.85,49.51,0.9,15668394255,15622389486,0,0.18,5.84,24.06
2414,2866,传艺科技,18.55,0.49,0.09,80830,149269315.6,1.63,18.65,18.35,18.45,18.46,0.48,4.46,87.39,2.52,5370637849,3362493686,0.05,0.11,-4.13,14.65
3026,3032,传智教育,8.55,0.12,0.01,122520,105267172.4,1.76,8.68,8.53,8.6,8.54,0.92,4.48,-62.61,2.56,3440926125,2338155102,0,0.12,-31.44,-11.86
2673,603012,创力集团,6.23,0.32,0.02,237330,148158507,3.22,6.36,6.16,6.25,6.21,0.57,3.67,21.29,1.1,4054234800,4027695000,0,0,6.86,17.33
4699,300941,创识科技,24.98,-1.26,-0.32,49603,124483949.5,1.58,25.32,24.92,25.08,25.3,0.64,4.09,135.56,4.05,5114655000,3029586565,0,-0.08,3.48,-17.56
3527,300083,创世纪,9.92,-0.2,-0.02,1493650,1486801182,3.72,10.18,9.81,10.07,9.94,0.52,10,61.43,3.23,16515436883,14810909323,-0.1,0.2,25.41,52.38
622,810,创维数字,14.24,2.89,0.4,437439,621458108.4,4.34,14.39,13.79,13.86,13.84,1.39,3.91,51.95,2.58,16379076865,15914505082,0,0.07,2.45,-10.1
692,600361,创新新材,4.59,2.68,0.12,1441188,661581321,6.04,4.72,4.45,4.47,4.47,0.71,8.65,17.88,1.78,18853130712,7651561189,0.22,0.22,5.03,18.91
5200,2173,创新医疗,10.91,-2.94,-0.33,550262,606092032.4,4.18,11.32,10.85,11.16,11.24,0.66,13.24,-129.68,2.61,4814412280,4535139366,-0.09,0,15.45,37.06
5180,600193,创兴资源,3.79,-2.82,-0.11,197398,75260508,4.62,3.94,3.76,3.85,3.9,0.94,4.64,-61.55,5.81,1612163670,1612163670,0,0,-22.65,11.8
4548,300688,创业黑马,31.49,-1.04,-0.33,61256,193581548,1.98,32.06,31.43,31.98,31.82,0.71,4.13,-91.59,10.85,5270779321,4669780674,0,0,0.61,-1.62
1028,600874,创业环保,5.99,1.87,0.11,151917,90496167,1.7,6,5.9,5.91,5.88,1.93,1.23,10.41,0.99,9406804329,7370204329,0.17,0.17,-4.16,0.34
5249,300451,创业慧康,7.16,-3.5,-0.26,1580803,1136837472,3.5,7.34,7.08,7.3,7.42,0.53,10.35,157.69,2.38,11091732795,10931127393,0.14,0.14,27.63,59.82
1240,300991,创益通,22.29,1.55,0.34,114609,253601344.6,1.78,22.3,21.91,22.13,21.95,1.24,12.75,-564.81,5.04,3209760000,2003692680,-0.04,0.18,3.87,7.73
4034,300366,创意信息,10.72,-0.56,-0.06,173794,186465623.3,2.88,10.88,10.57,10.73,10.78,0.74,3.28,-25.23,3.75,6513216328,5686986693,-0.09,-0.09,-9.84,15.27
1356,551,创元科技,13.25,1.38,0.18,84401,111072695.6,2.91,13.35,12.97,13.05,13.07,0.83,2.1,18.97,2.12,5352260716,5334874583,0,0,1.77,10.79
3505,300703,创源股份,15.88,-0.19,-0.03,152927,243043072.3,5.03,16.36,15.56,16.25,15.91,2.27,9.01,35.99,3.4,2864622419,2694225938,0,0.25,-19.39,11.28
5208,603129,春风动力,173.5,-2.97,-5.31,21567,375459646,5.55,182,172.08,179.99,178.81,1.1,1.41,18.36,4.47,26472224531,26472224531,-0.09,-0.11,18.81,10.46
921,603657,春光科技,16.71,2.08,0.34,58081,95865247,5.38,16.89,16.01,16.38,16.37,0.91,4.3,362.52,2.4,2280068221,2259025736,0.06,0.06,0.3,-2.45
2866,600854,春兰股份,4.93,0.2,0.01,107943,53319681,1.83,4.99,4.9,4.95,4.92,1.25,2.08,14.32,1.07,2560930592,2560930592,-0.2,-0.2,-9.87,7.64
1539,603890,春秋电子,13.7,1.18,0.16,348081,478460793,3.47,13.97,13.5,13.83,13.54,1.47,7.93,32.01,2.2,6014995001,6014995001,0,0.07,13.98,16.6
2656,601021,春秋航空,52.13,0.33,0.17,56103,293915050,2.16,53.08,51.96,52.39,51.96,1.1,0.57,14.69,2.88,51000521341,51000521341,0.02,-0.06,-11.04,-9.61
2519,2547,春兴精工,4.88,0.41,0.02,371292,181906795,1.85,4.95,4.86,4.89,4.86,0.79,3.36,-23.36,83.03,5504918980,5391458970,-0.2,0,-23.15,19.32
3865,605567,春雪食品,9.11,-0.44,-0.04,68788,62941865,1.97,9.26,9.08,9.2,9.15,1.32,3.44,573.07,1.7,1822000000,1822000000,0.22,0.22,-14.7,1.22
251,603516,淳中科技,55.85,5.06,2.69,186510,1024169070,6.88,57,53.34,56,53.16,1.76,9.24,164.13,8.28,11272863357,11272863357,-0.02,-0.29,7.24,1.03
3624,2343,慈文传媒,7.28,-0.27,-0.02,148994,108837713.8,2.47,7.43,7.25,7.28,7.3,0.55,3.14,227.3,3.53,3457633714,3457633714,0,-0.14,-8.43,17.42
1597,300307,慈星股份,9.93,1.12,0.11,512176,508710348.2,3.77,10.09,9.72,9.81,9.82,1.1,6.53,19.11,2.44,7886890346,7783369679,0.1,0.1,19.93,20.51
4021,603968,醋化股份,10.9,-0.55,-0.06,45440,49532529,2.01,11.02,10.8,10.93,10.96,0.44,2.22,-18.06,1.21,2260452900,2228832000,-0.55,-0.64,-1.89,17.58
4274,2731,萃华珠宝,10.17,-0.78,-0.08,134148,136536963.9,3.71,10.42,10.04,10.18,10.25,1.27,5.84,16.74,1.6,2605106520,2335605588,-0.2,-0.29,-2.02,8.31
5119,603123,翠微股份,8.97,-2.39,-0.22,290586,261005619,3.16,9.19,8.9,9.18,9.19,0.96,4.45,-14.16,2.92,7164667885,5850915263,0,0.11,-13,11.43
2007,2209,达 意 隆,11.62,0.78,0.09,73592,84873007,2.69,11.72,11.41,11.53,11.53,0.76,4.74,41.36,3.36,2312717561,1804827510,0.09,0.26,4.87,25.22
4116,2030,达安基因,6.36,-0.63,-0.04,149789,95585565.49,1.25,6.44,6.36,6.42,6.4,0.57,1.07,-13.32,1.07,8925916764,8925916764,0,0,-4.07,11.97
4044,300103,达刚控股,6.95,-0.57,-0.04,63421,44425165.65,2.86,7.11,6.91,6.97,6.99,0.77,2,-59.92,3.68,2207326950,2205502902,0,0.14,-11.01,10.49
630,2512,达华智能,5.73,2.87,0.16,1414967,826271583.1,7.9,6.12,5.68,5.68,5.57,2.29,13.5,84.79,14.68,6572851668,6007646909,-0.17,-0.17,-16.23,20.89
5345,301126,达嘉维康,12.24,-5.92,-0.77,334742,415798989.1,5.3,12.9,12.21,12.88,13.01,3.97,24.28,51.73,1.42,2514135168,1687691213,0,0.08,-0.81,17.24
4545,301566,达利凯普,17.18,-1.04,-0.18,83694,143939520.4,1.9,17.43,17.1,17.32,17.36,0.53,3.96,58.43,5.19,6872171800,3626470760,-0.12,-0.06,-14.27,4.5
3591,600329,达仁堂,31.52,-0.25,-0.08,46578,147609078,1.65,32.02,31.5,31.7,31.6,1.07,0.82,22.65,3.78,24273374101,17874656501,-0.06,-0.1,-4.08,2.34
665,300976,达瑞电子,72.11,2.79,1.96,22746,162903643,4.7,72.8,69.5,70.51,70.15,1.4,3.72,28.32,2.1,6877642681,4412674678,0.04,0.04,2.46,6.51
3575,2421,达实智能,4.11,-0.24,-0.01,771173,319926351.6,2.43,4.21,4.11,4.16,4.12,0.56,3.85,136.22,2.55,8715590536,8233491096,-0.24,-0.24,-12.18,19.83
1031,300535,达威股份,15.27,1.87,0.28,31831,47946418.62,2.94,15.28,14.84,14.95,14.99,1.64,4.16,39.77,1.67,1600318340,1167315852,0.2,0.07,-5.21,17.19
2423,2385,大北农,4.13,0.49,0.02,810917,335663423.6,1.46,4.17,4.11,4.12,4.11,1.31,2.3,99.8,2.15,17759324473,14554441673,-0.24,0,-13.6,-4.62
3494,2901,大博医疗,32.88,-0.18,-0.06,14436,47551191.43,1.79,33.19,32.6,33.19,32.94,1.13,0.5,42.56,4.3,13612961357,9486299976,0,0,1.51,6.61
4204,603233,大参林,15.3,-0.71,-0.11,78810,121227192,1.88,15.55,15.26,15.45,15.41,0.95,0.69,15.23,2.61,17424372794,17424372794,0,0,-7.22,1.59
90,600892,大晟文化,3.76,9.94,0.34,530149,197745760,9.06,3.76,3.45,3.45,3.42,3.14,9.48,-101.89,16.81,2103585347,2103041455,0,0,-31.51,1.9
5255,301068,大地海洋,35.35,-3.65,-1.34,38832,144646316.3,13.85,39.8,34.72,37.41,36.69,3.12,3.57,59.93,4.63,3850318041,3850318041,0,-0.81,11.34,15.94
1286,600327,大东方,5.43,1.5,0.08,1115187,621092568,8.79,5.89,5.42,5.8,5.35,1.26,12.6,35.74,1.46,4804352783,4804352783,-0.18,0,-23.95,1.88
1218,2263,大东南,2.58,1.57,0.04,422096,109241711.9,3.15,2.62,2.54,2.55,2.54,1.16,2.25,-177.77,1.78,4846169058,4846130358,-0.39,0,-15.96,4.03
5290,603081,大丰实业,14.7,-4.23,-0.65,264300,390192666,5.41,15.19,14.36,15.19,15.35,1.33,6.51,85.77,2.12,6017004279,5970955059,0.14,-0.07,24.05,30.09
311,300134,大富科技,16.18,4.59,0.71,618079,988244587.5,7.56,16.5,15.33,15.47,15.47,1.41,8.68,-41.54,2.94,12418117737,11526923337,0.19,0.62,8.23,37.94
3008,2077,大港股份,14.93,0.13,0.02,106173,158833586.2,1.41,15.06,14.85,14.91,14.91,0.81,1.83,163.74,2.62,8664603299,8664603299,0,0.07,-7.32,1.77
2628,603025,大豪科技,14.45,0.35,0.05,81124,117248413,1.53,14.55,14.33,14.47,14.4,1.19,0.73,24.42,6.9,16027575470,16027575470,0.07,0.07,-11.89,-5.25
3959,600288,大恒科技,9.94,-0.5,-0.05,136173,135798077,2.5,10.12,9.87,9.99,9.99,0.49,3.12,-507.71,2.33,4341792000,4341792000,0,0,-11.96,16.39
1843,300865,大宏立,23.8,0.89,0.21,9550,22659206,1.74,24,23.59,23.96,23.59,0.69,1.41,90.65,2.59,2277184000,1612410778,-0.04,0,-15.6,1.97
1725,600257,大湖股份,5.05,1,0.05,355731,180482273,3.6,5.16,4.98,5,5,1.59,7.39,-85.08,2.84,2430247799,2430247799,0,0.2,-18.28,6.99
2224,2236,大华股份,19.14,0.63,0.12,1873042,3593288252,4.63,19.77,18.89,19.04,19.02,0.81,8.9,18.59,1.76,63078918102,40276699519,0,0,13.12,19.63
1014,2487,大金重工,22.62,1.89,0.42,102993,232539742.7,2.66,22.82,22.23,22.25,22.2,1.47,1.63,38.37,2.04,14425890274,14271416417,-0.13,-0.18,-1.87,10.4
4530,2214,大立科技,10.83,-1.01,-0.11,64897,70452824.8,1.92,11.01,10.8,10.96,10.94,0.92,1.35,-18.81,3.91,6489746836,5187774698,0,0,-21.75,-2.87
4376,2606,大连电瓷,9.17,-0.86,-0.08,92301,84988659.56,1.51,9.3,9.16,9.25,9.25,0.89,2.19,19.41,2.42,4026301427,3861872644,0,0,-8.48,-0.54
739,600719,大连热电,6.87,2.54,0.17,397375,269352521,6.72,7.04,6.59,6.66,6.7,1.41,9.82,-19.05,6.9,2779599252,2779599252,0,-0.15,-17.82,-3.65
1940,600593,大连圣亚,28.17,0.82,0.23,97095,273384093,2.72,28.56,27.8,28.47,27.94,1.49,7.54,25.88,11.1,3628296000,3628296000,0.04,0.14,-39.33,-22.35
681,679,大连友谊,7.52,2.73,0.2,217770,161935980.3,3.96,7.55,7.26,7.4,7.32,1.19,6.11,-48.62,9.22,2680128000,2680128000,0,0,7.28,14.98
1763,2204,大连重工,5.25,0.96,0.05,306076,160755539.5,1.54,5.3,5.22,5.23,5.2,1.42,1.58,20.24,1.38,10139692668,10139692668,0,0,-2.23,5.42
1178,600159,大龙地产,2.51,1.62,0.04,232484,58351139,2.43,2.53,2.47,2.48,2.47,1.55,2.8,-101.99,1.09,2083308112,2083308112,-0.4,0,-22.29,4.58
3652,600094,大名城,3.48,-0.29,-0.01,210094,73318458,2.01,3.53,3.46,3.5,3.49,0.8,0.92,27.76,0.68,8614131198,7922585268,0.29,0.58,-17.92,-4.4
548,603955,大千生态,19.93,3.16,0.61,77470,154921543,4.87,20.32,19.38,19.38,19.32,0.89,5.71,132.43,1.75,2704899600,2704899600,-0.2,-0.25,-12.66,10.11
4081,601006,大秦铁路,6.48,-0.61,-0.04,838177,544723415,1.07,6.55,6.48,6.53,6.52,1.41,0.42,11.38,0.79,1.30554E+11,1.30554E+11,0,-0.15,-6.22,-4.42
2350,985,大庆华科,18.6,0.54,0.1,13958,25910636,2.11,18.73,18.34,18.69,18.5,0.9,1.08,58.09,3.93,2411294700,2411294700,0.05,0,-14.13,-0.53
4493,600694,大商股份,25.35,-0.98,-0.25,51045,131423628,3.24,26.12,25.29,25.68,25.6,1.26,1.63,11.2,0.92,7935882675,7935882675,-0.04,0.08,-3.94,-3.87
2537,603687,大胜达,7.45,0.4,0.03,168902,125723142,2.29,7.55,7.38,7.45,7.42,0.97,3.07,37.15,1.26,4097737387,4097737387,0.13,0.27,-10.67,2.19
2841,600198,大唐电信,9.2,0.22,0.02,171559,157986403,1.31,9.27,9.15,9.16,9.18,0.67,1.32,-99.33,54.53,11993152577,11977938197,0,0.11,-19.16,6.6
1339,601991,大唐发电,2.89,1.4,0.04,1010532,292015195,2.11,2.91,2.85,2.85,2.85,1.18,0.82,9.06,1.74,53484393357,35824697516,0.35,0,-2.36,1.4
2924,2213,大为股份,16.55,0.18,0.03,108222,178556760,2.42,16.65,16.25,16.6,16.52,0.65,5.25,-111.17,6.7,3924915250,3409214999,0,0.18,26.92,21.96
693,600589,大位科技,8.04,2.68,0.21,2337792,1880920160,9.58,8.45,7.7,7.7,7.83,0.66,15.81,-320.62,19.61,11886897916,11886897916,0,-0.12,56.42,75.55
685,600558,大西洋,4.93,2.71,0.13,319041,156353670,3.33,4.98,4.82,4.86,4.8,1.45,3.55,38.51,1.93,4425191817,4425191817,0,0,6.94,21.13
1682,910,大亚圣象,8.78,1.04,0.09,71035,62266012.17,2.76,8.88,8.64,8.76,8.69,0.54,1.3,26.89,0.71,4806150050,4803687260,-0.11,-0.11,-2.98,11.56
1250,2249,大洋电机,7.23,1.54,0.11,1196513,861539314,3.93,7.33,7.05,7.16,7.12,0.69,6.57,19.67,1.94,17588814305,13171832809,-0.14,-0.14,23.8,23.17
2070,3017,大洋生物,22.07,0.73,0.16,14435,31653711.4,2.37,22.14,21.62,21.91,21.91,0.79,2.09,27.12,1.8,1853880000,1526327278,0.09,0.09,0.64,18.53
1783,603278,大业股份,11.72,0.95,0.11,217129,253411790,2.67,11.82,11.51,11.66,11.61,0.59,6.35,-27.9,1.85,4005420074,4005420074,0.09,0.17,19.84,54.41
3584,300879,大叶股份,16.93,-0.24,-0.04,38534,65481596.63,1.59,17.17,16.9,16.98,16.97,0.7,1.92,121.13,2.79,3426612243,3403411625,-0.06,-0.24,5.48,7.97
1519,300670,大烨智能,6.67,1.21,0.08,79410,52715225,2.88,6.72,6.53,6.59,6.59,1.19,3.53,1343.64,3.33,2113859595,1498710487,0,0.15,-8.5,15.2
5081,600403,大有能源,3.62,-2.16,-0.08,988584,371859293,11.62,4.03,3.6,3.8,3.7,2.33,4.13,-8.26,1.44,8654740895,8654740895,0,0,5.23,23.13
1855,300021,大禹节水,4.57,0.88,0.04,205549,93943898,1.77,4.61,4.53,4.55,4.53,1.33,2.93,97.97,2.09,3901675390,3201376688,0,0,-1.93,12.29
3964,603757,大元泵业,23.25,-0.51,-0.12,18959,43968967,2.05,23.49,23.01,23.4,23.37,0.58,1.15,14.83,2.5,3830348778,3830348778,0.04,-0.04,8.39,15.96
730,31,大悦城,2.8,2.56,0.07,240194,67043244.38,2.56,2.82,2.75,2.76,2.73,1.62,0.6,-15.34,0.91,12001677349,11208084073,0.36,0,-23.08,-7.89
4511,1203,大中矿业,8.94,-1,-0.09,66027,59089825.09,1.11,9.02,8.92,9,9.03,0.83,0.5,15.21,2.13,13481712997,11752492934,-0.11,0,-9.42,3.23
3149,600635,大众公用,3.99,0,0,267998,107285838,1.25,4.03,3.98,3.99,3.99,0.79,1.11,51.87,1.4,11780214353,9650978783,-0.25,-0.25,-14.93,-10.34
1851,600611,大众交通,6.82,0.89,0.06,397727,271173646,1.63,6.87,6.76,6.77,6.76,1.14,2.54,54.1,1.67,16123317932,10661817602,-0.15,0,-19,-1.16
3837,2008,大族激光,28.64,-0.42,-0.12,209438,599861380.6,1.67,28.93,28.45,28.87,28.76,0.59,2.14,15.85,1.9,30134807520,28047638135,-0.03,-0.07,6.35,14.56
3326,301200,大族数控,42.38,-0.02,-0.01,13520,57006178.86,2.93,42.96,41.72,42.35,42.39,0.54,2.31,65.75,3.56,17799600000,2475121301,-0.05,-0.05,9,17.14
3563,300700,岱勒新材,8.59,-0.23,-0.02,126037,107280996.3,2.9,8.65,8.4,8.59,8.61,0.66,4.66,-30.07,2.95,3402035338,2323942199,-0.35,-0.23,-4.13,-2.16
1098,603730,岱美股份,8.71,1.75,0.15,79356,68658100,2.34,8.72,8.52,8.57,8.56,0.96,0.48,17.33,3.17,14395506929,14395506929,0,0.11,-11.39,-3.11
1643,300314,戴维医疗,14.03,1.08,0.15,439517,628179916.2,8.93,14.95,13.71,14.95,13.88,4.08,23.21,47.87,3.44,4040640000,2656670965,0.29,0.14,8.17,24.6
5219,600844,丹化科技,2.8,-3.11,-0.09,663062,186967157,3.11,2.88,2.79,2.88,2.89,2.54,8.06,-10.75,8.38,2846267872,2303645775,-0.71,-0.71,-19.08,9.38
3897,300073,当升科技,45.13,-0.46,-0.21,135742,613849145.3,2.58,45.86,44.69,45.86,45.34,0.57,2.69,36.93,1.74,22858379931,22797901308,-0.02,-0.02,2.45,12.04
4252,2852,道道全,9.21,-0.75,-0.07,96621,89116670.65,2.37,9.39,9.17,9.29,9.28,0.66,3.38,21.31,1.58,3167948089,2632390651,-0.11,0.11,-7.25,11.5
3894,2838,道恩股份,15.18,-0.46,-0.07,302821,461789503.1,4.46,15.64,14.96,15.56,15.25,2.17,7.76,48.26,2.26,6801354432,5924301499,0.13,-0.07,14.83,28.86
1979,2632,道明光学,10.17,0.79,0.08,250329,252833563.6,3.96,10.28,9.88,10.09,10.09,0.99,4.31,33.09,3.03,6352172745,5906736112,0,0,9,14.27
3981,300409,道氏技术,17.16,-0.52,-0.09,386754,668561343.3,2.78,17.6,17.12,17.39,17.25,0.66,6.51,60.29,1.71,11823077769,10197049606,-0.06,-0.12,11.14,26.08
2461,603303,得邦照明,13.1,0.46,0.06,27615,36167037,1.69,13.19,12.97,13.05,13.04,0.8,0.58,17.99,1.75,6247973933,6247973933,0,0,1.55,11.3
2840,2330,得利斯,4.53,0.22,0.01,105106,47812418.93,1.55,4.59,4.52,4.55,4.52,1.07,1.65,325.59,1.22,2878250064,2877359579,0.22,0.22,-14.2,3.66
1665,2055,得润电子,6.71,1.05,0.07,549946,368122774.6,4.37,6.83,6.54,6.62,6.64,1.06,9.3,-24.19,1.63,4056128014,3968003819,0,0.15,-19.83,-6.81
3012,603056,德邦股份,15.27,0.13,0.02,51428,78740570,1.51,15.44,15.21,15.29,15.25,0.49,0.5,18.09,1.84,15572580975,15572580975,-0.07,-0.07,2.76,6.56
321,300947,德必集团,21.06,4.52,0.91,171232,352530610.3,7.1,21.32,19.89,20.35,20.15,2.02,11.33,107.28,2.53,3182959878,3181933940,0.1,-0.05,6.58,32.7
5100,605287,德才股份,14.3,-2.26,-0.33,44409,64069407,5.81,14.92,14.07,14.75,14.63,1.02,3.17,19.15,1.05,2002000000,2002000000,0.56,-0.21,2,17.7
2812,605555,德昌股份,26.16,0.23,0.06,44748,117073818,2.61,26.39,25.71,26.36,26.1,0.61,3.3,24.23,3.37,9740958528,3549870536,0,0.04,12.52,20.89
1025,603177,德创环保,8.66,1.88,0.16,65967,56776044,3.06,8.7,8.44,8.55,8.5,1.55,3.23,55.28,4.73,1785293640,1768302720,0.12,0.12,-3.78,17.66
972,300780,德恩精工,16.57,1.97,0.32,57037,93142056,3.88,16.63,16,16.2,16.25,0.76,5.44,-49.11,2.12,2430321900,1737856198,-0.06,-0.3,-10.04,15.39
2191,300473,德尔股份,31.17,0.65,0.2,127830,399761637.1,3.81,31.71,30.53,31.15,30.97,0.82,8.52,146.17,3.03,4705831558,4677058126,0,0,26.97,25.13
709,301332,德尔玛,11.3,2.63,0.29,129329,145744413.3,3.91,11.43,11,11.07,11.01,2.2,4.88,37.63,1.84,5215656250,2993341750,0.09,0.18,-1.91,12.77
802,2631,德尔未来,4.73,2.38,0.11,439663,211406489.9,5.19,4.95,4.71,4.8,4.62,0.92,5.54,2247.2,1.59,3771148027,3753597225,0,0.21,-11.26,6.77
3491,300769,德方纳米,35.17,-0.17,-0.06,61791,218074289.4,1.59,35.57,35.01,35.44,35.23,0.8,2.45,-8.99,1.62,9854213015,8854158567,-0.09,-0.11,-23.11,-4.64
283,301511,德福科技,16.47,4.84,0.76,306507,493740968.6,8.02,16.78,15.52,15.7,15.71,1.6,8.2,-38.15,2.57,10381403340,6154378021,-0.06,0.18,10.31,31.13
1852,300950,德固特,18.16,0.89,0.16,38069,68671508,2.61,18.18,17.71,18.1,18,1.26,4.24,20.88,3.68,2732716800,1629496800,0,0.06,2.66,12.45
2041,1378,德冠新材,22.9,0.75,0.17,15865,36231329.32,1.01,22.93,22.7,22.84,22.73,1.13,2.44,31.65,1.63,3053339440,1489644359,0,-0.04,-8.33,-0.09
442,603701,德宏股份,17.25,3.6,0.6,49960,85140171,5.65,17.39,16.45,16.86,16.65,1,1.91,229.86,5.85,4508492792,4508492792,0,0.06,9.8,23.21
80,2571,德力股份,6.29,9.97,0.57,349327,213966921.3,9.79,6.29,5.73,5.77,5.72,2.16,11.71,-56.44,2.06,2465369903,1876345923,0,0,16.27,53.41
1496,2666,德联集团,4.93,1.23,0.06,367087,180745808.3,4.52,5.03,4.81,4.84,4.87,1.25,7.33,37.16,1.11,3884836554,2468294231,0,0.2,-1.6,13.07
769,593,德龙汇能,5.78,2.48,0.14,100647,57734914.9,3.01,5.8,5.63,5.68,5.64,1.69,2.81,36.72,2.38,2072887232,2072032717,-0.17,0.17,-8.83,6.06
1091,301007,德迈仕,25.39,1.76,0.44,161685,405698653.7,4.09,25.62,24.6,25.03,24.95,0.73,10.76,71.29,5.92,3893302600,3815846292,0.08,0.2,35.2,38.14
1107,2054,德美化工,6.44,1.74,0.11,136825,88564668.2,2.84,6.58,6.4,6.42,6.33,2.19,3.57,51.17,1.27,3104823511,2465479161,0,0,-8.78,10.84
443,1309,德明利,151.09,3.6,5.25,63697,953981135,5.72,152.44,144.1,145.31,145.84,0.97,7.27,43.47,9.66,24442233012,13240946357,0.01,0.05,79.04,73.27
4484,49,德赛电池,24.2,-0.98,-0.24,66078,160402128.7,1.15,24.45,24.17,24.45,24.44,0.99,1.72,31.57,1.46,9308252523,9304831345,0,0.08,-3.08,2.93
