003043,华亚智能,3.302,
601619,嘉泽新能,3.056,
000519,中兵红箭,49.933,
002436,兴森科技,2.116,
600419,天润乳业,3.459,
603005,晶方科技,4.384,
002223,鱼跃医疗,6.853,
002035,华帝股份,17.703,
600787,中储股份,3.265,
000411,英特集团,2.74,
000557,西部创业,2.263,
002409,雅克科技,5.698,
603596,伯特利,10.925,
600284,浦东建设,2.217,
000600,建投能源,4.538,
000006,深振业Ａ,4.344,
600372,中航电子,5.347,
000927,中国铁物,33.176,
002079,苏州固锝,2.256,
601611,中国核建,2.616,
603936,博敏电子,5.259,
002423,中粮资本,14.765,
603192,汇得科技,18.238,
600101,明星电力,2.442,
605358,立昂微,16.807,
000881,中广核技,3.231,
600612,老凤祥,2.772,
600651,飞乐音响,3.524,
603309,维力医疗,5.115,
000958,电投产融,12.374,
603126,中材节能,2.07,
000543,皖能电力,3.582,
600737,中粮糖业,2.111,
002062,宏润建设,5.57,
600496,精工钢构,3.826,
600970,中材国际,2.606,
600879,航天电子,2.381,
605222,起帆电缆,2.338,
002492,恒基达鑫,2.081,
600862,中航高科,117.199,
600511,国药股份,3.916,
002449,国星光电,4.83,
002204,大连重工,2.218,
002038,双鹭药业,2.128,
603227,雪峰科技,2.081,
601116,三江购物,84.311,
600206,有研新材,16.151,
600578,京能电力,2.572,
600133,东湖高新,2.176,
000919,金陵药业,2.586,
002302,西部建设,3.048,
601678,滨化股份,3.174,
000959,首钢股份,3.901,
000993,闽东电力,3.254,
000900,现代投资,2.198,
000090,天健集团,11.854,
603176,汇通集团,2.337,
600008,首创环保,2.764,
000419,通程控股,4.998,
000099,中信海直,3.79,
002559,亚威股份,2.324,
603836,海程邦达,2.29,
000703,恒逸石化,4.976,
002053,云南能投,2.769,
002152,广电运通,2.262,
603726,朗迪集团,4.12,
600461,洪城环境,2.138,
000019,深粮控股,2.877,
002402,和而泰,58.854,
600382,ST广珠,9.889,
002300,太阳电缆,7.529,
002651,利君股份,24.046,
600704,物产中大,6.12,
600328,中盐化工,4.351,
600650,锦江在线,3.236,
000885,城发环境,12.068,
601000,唐山港,100.67,
000591,太阳能,2.826,
601098,中南传媒,2.257,
002208,合肥城建,8.325,
600415,小商品城,17.152,
002419,天虹股份,10.151,
603766,隆鑫通用,3.431,
601811,新华文轩,2.386,
000905,厦门港务,5.167,
000791,甘肃能源,3.807,
000652,泰达股份,2.093,
603933,睿能科技,3.736,
002046,国机精工,7.249,
002039,黔源电力,3.031,
000011,深物业A,13.95,
603798,康普顿,2.369,
002645,华宏科技,6.617,
002761,浙江建投,3.842,
601388,怡球资源,3.107,
002839,张家港行,2.488,
600267,海正药业,3.205,
002091,江苏国泰,3.116,
600662,外服控股,2.356,
603323,苏农银行,2.036,
601616,广电电气,3.121,
600710,苏美达,2.615,
002080,中材科技,45.425,
000968,蓝焰控股,4.147,
601992,金隅集团,2.69,
603959,百利科技,2.199,
600846,同济科技,4.717,
000059,华锦股份,3.337,
600116,三峡水利,3.91,
002999,天禾股份,2.641,
002658,雪迪龙,7.933,
002953,日丰股份,2.111,
600908,无锡银行,3.276,
600835,上海机电,9.233,
603527,众源新材,2.008,
600717,天津港,2.213,
600735,新华锦,18.581,
002743,富煌钢构,7.821,
000801,四川九洲,4.686,
600338,西藏珠峰,19.665,
603320,迪贝电气,2.777,
600814,杭州解百,2.079,
600230,沧州大化,37.74,
603906,龙蟠科技,7.625,
002440,闰土股份,8.113,
000422,湖北宜化,2.825,
600562,国睿科技,19.154,
002911,佛燃能源,3.804,
603179,新泉股份,3.455,
600516,方大炭素,4.581,
002595,豪迈科技,2.321,
000686,东北证券,4.534,
603969,银龙股份,3.422,
600623,华谊集团,5.062,
600359,新农开发,5.837,
601778,晶科科技,2.208,
002457,青龙管业,10.312,
600713,南京医药,2.06,
002099,海翔药业,5.231,
000975,银泰黄金,3.728,
002176,江特电机,3.364,
002508,老板电器,2.033,
600798,宁波海运,3.703,
600368,五洲交通,6.582,
600794,保税科技,4.327,
002266,浙富控股,4.684,
600565,迪马股份,4.923,
600425,青松建化,3.572,
000062,深圳华强,33.377,
600987,航民股份,8.774,
601198,东兴证券,9.369,
603297,永新光学,2.802,
000762,西藏矿业,2.127,
600668,尖峰集团,2.422,
002357,富临运业,2.8,
000719,中原传媒,2.17,
000571,ST大洲,2.363,
603628,清源股份,2.721,
002108,沧州明珠,2.573,
002479,富春环保,2.123,
000973,佛塑科技,3.171,
002738,中矿资源,2.459,
002267,陕天然气,2.687,
002758,浙农股份,4.945,
002351,漫步者,3.458,
603727,博迈科,3.148,
000709,河钢股份,2.862,
600208,新湖中宝,8.08,
000915,华特达因,2.118,
002081,金 螳 螂,18.632,
600480,凌云股份,5.92,
600594,益佰制药,5.166,
600161,天坛生物,2.356,
000705,浙江震元,2.73,
600746,江苏索普,2.654,
600740,山西焦化,10.021,
002264,新 华 都,2.954,
603977,国泰集团,3.236,
600180,瑞茂通,2.178,
601200,上海环境,2.604,
002120,韵达股份,2.521,
000718,苏宁环球,2.7,
002673,西部证券,4.989,
600420,国药现代,4.994,
600979,广安爱众,4.72,
002606,大连电瓷,5.153,
002524,光正眼科,5.223,
601555,东吴证券,6.798,
600479,千金药业,3.774,
000728,国元证券,2.339,
600857,宁波中百,2.859,
600691,阳煤化工,2.92,
600278,东方创业,2.448,
002133,广宇集团,3.146,
600323,瀚蓝环境,3.049,
600056,中国医药,12.213,
000623,吉林敖东,2.651,
002030,达安基因,2.088,
000407,胜利股份,6.886,
600758,辽宁能源,2.277,
600810,神马股份,3.035,
